时间,产量:平板玻璃:当月值,HS:出口金额:当月值:70章 玻璃及其制品,HS:进口金额:当月值:70章 玻璃及其制品,现货平均价(平方米):浮法玻璃:5mm:上海,现货平均价(平方米):浮法玻璃:5mm:武汉,现货平均价(平方米):浮法玻璃:5mm:济南,期货结算价(活跃合约):燃料油,现货价:天然气(俄罗斯产):德国港口,期货收盘价(连续):NYMEX天然气,期货结算价(活跃合约):IPE英国天然气,市场价(低端价):轻质纯碱:华中地区,市场价(低端价):轻质纯碱:华南地区,市场价(低端价):轻质纯碱:华东地区,市场价(低端价):轻质纯碱:华北地区,出厂价(含税):高纯石英砂:国内主流厂商平均,泰国:PPI:按生产过程:白云石,申万行业指数:环保设备,房屋竣工面积:累计值,商品房销售额:累计值,商品房销售面积:现房:累计值,产量:汽车:当月值,日本:产量:丰田:汽车:当月值,韩国:产量:汽车:当月值,浮法玻璃:生产线总数,浮法玻璃:生产线条数:冷修,浮法玻璃:产销率:累计值,浮法玻璃:库存:期末值,浮法玻璃:日熔量:点火
2010-01-04,,,,27.53 ,25.12 ,22.28 ,4553.00 ,,5.88 ,46.63 ,,,,,,,9375.42 ,,,,,,,,,,,
2010-01-05,,,,27.50 ,24.92 ,22.34 ,4646.00 ,,5.64 ,47.00 ,,,,,,,9506.57 ,,,,,,,,,,,
2010-01-06,,,,27.43 ,24.86 ,22.42 ,4721.00 ,,6.01 ,46.40 ,,,,,,,9437.72 ,,,,,,,,,,,
2010-01-07,,,,27.50 ,24.94 ,22.44 ,4657.00 ,,5.81 ,46.53 ,,,,,,,9102.79 ,,,,,,,,,,,
2010-01-08,,,,27.43 ,25.00 ,22.52 ,4576.00 ,,5.75 ,44.87 ,,,,,,,9140.66 ,,,,,,,,,,,
2010-01-11,,,,27.37 ,25.02 ,22.62 ,4697.00 ,,5.45 ,44.31 ,,,,,,,9262.85 ,,,,,,,214.00 ,10.00 ,,,3250.00 
2010-01-12,,,,27.37 ,24.82 ,22.66 ,4654.00 ,,5.59 ,43.56 ,,,,,,,9501.36 ,,,,,,,,,,,
2010-01-13,,,,27.30 ,24.90 ,22.44 ,4571.00 ,,5.73 ,42.48 ,,,,,,,9375.53 ,,,,,,,,,,,
2010-01-14,,,,27.23 ,24.90 ,22.48 ,4635.00 ,,5.59 ,42.49 ,,,,,,,9817.26 ,,,,,,,,,,,
2010-01-15,,,,27.50 ,24.84 ,22.48 ,4584.00 ,,5.69 ,42.42 ,,,,,,,9721.30 ,,,,,,,,,,,
2010-01-18,,,,27.33 ,24.88 ,22.22 ,4571.00 ,,,35.26 ,,,,,,,9955.99 ,,,,,,,,,,,
2010-01-19,,,,27.27 ,24.74 ,22.24 ,4602.00 ,,5.56 ,35.99 ,,,,,,,9836.04 ,,,,,,,214.00 ,10.00 ,,,2150.00 
2010-01-20,,,,27.10 ,24.74 ,22.16 ,4605.00 ,,5.50 ,43.31 ,,,,,,,9460.44 ,,,,,,,,,,,
2010-01-21,,,,27.20 ,24.86 ,22.14 ,4602.00 ,,5.62 ,42.46 ,,,,,,,9427.22 ,,,,,,,,,,,
2010-01-22,,,,27.03 ,24.80 ,22.14 ,4577.00 ,,5.82 ,42.03 ,,,,,,,9124.33 ,,,,,,,,,,,
2010-01-25,,,,27.00 ,24.82 ,22.14 ,4566.00 ,,5.72 ,43.00 ,,,,,,,9061.49 ,,,,,,,,,,,
2010-01-26,,,,26.93 ,24.72 ,22.26 ,4547.00 ,,5.49 ,44.02 ,,,,,,,8917.68 ,,,,,,,,,,,
2010-01-27,,,,26.97 ,24.86 ,22.26 ,4522.00 ,,5.27 ,43.42 ,,,,,,,8597.11 ,,,,,,,,,,,
2010-01-28,,,,27.17 ,24.78 ,22.16 ,4513.00 ,,5.14 ,42.60 ,,,,,,,8849.91 ,,,,,,,,,,,
2010-01-29,,,,26.77 ,24.64 ,22.30 ,4520.00 ,,5.13 ,42.33 ,,,,,,,8799.22 ,,,,,,,,,,,
2010-01-30,,,,26.50 ,24.70 ,22.30 ,,,,,,,,,,,,,,,,,,214.00 ,10.00 ,,,1550.00 
2010-01-31,5096.51 ,714565.00 ,275917.00 ,,,,,7.59 ,,,,,,,,100.00 ,,,,,162.49 ,268888.00 ,312847.00 ,,,85.30 ,2165.00 ,
2010-02-01,,,,26.47 ,24.68 ,22.38 ,4418.00 ,,5.43 ,41.97 ,,,,,,,8566.49 ,,,,,,,,,,,
2010-02-02,,,,26.73 ,24.60 ,22.38 ,4441.00 ,,5.45 ,42.77 ,,,,,,,8474.79 ,,,,,,,,,,,
2010-02-03,,,,26.70 ,24.62 ,22.32 ,4491.00 ,,5.42 ,43.01 ,,,,,,,8598.66 ,,,,,,,,,,,
2010-02-04,,,,26.43 ,24.64 ,22.36 ,4461.00 ,,5.42 ,43.03 ,,,,,,,8607.85 ,,,,,,,,,,,
2010-02-05,,,,26.57 ,24.62 ,22.32 ,4328.00 ,,5.52 ,42.48 ,,,,,,,8683.03 ,,,,,,,,,,,
2010-02-08,,,,26.50 ,24.54 ,22.32 ,4338.00 ,,5.40 ,42.01 ,,,,,,,8626.63 ,,,,,,,,,,,
2010-02-09,,,,26.63 ,24.60 ,22.30 ,4327.00 ,,5.29 ,41.70 ,,,,,,,9201.29 ,,,,,,,,,,,
2010-02-10,,,,26.63 ,24.46 ,22.50 ,4353.00 ,,5.29 ,41.45 ,,,,,,,9166.12 ,,,,,,,214.00 ,10.00 ,,,1550.00 
2010-02-11,,,,26.57 ,24.44 ,22.50 ,4375.00 ,,5.40 ,41.42 ,,,,,,,9246.52 ,,,,,,,,,,,
2010-02-12,,,,26.73 ,24.42 ,22.50 ,4410.00 ,,5.47 ,41.00 ,,,,,,,9269.92 ,,,,,,,,,,,
2010-02-15,,,,26.63 ,24.42 ,22.52 ,,,,39.92 ,,,,,,,,,,,,,,,,,,
2010-02-16,,,,26.73 ,24.50 ,22.72 ,,,5.31 ,40.53 ,,,,,,,,,,,,,,,,,,
2010-02-17,,,,26.73 ,24.38 ,22.72 ,,,5.39 ,39.48 ,,,,,,,,,,,,,,,,,,
2010-02-18,,,,26.73 ,24.28 ,22.72 ,,,5.17 ,38.97 ,,,,,,,,,,,,,,,,,,
2010-02-19,,,,26.50 ,24.46 ,22.64 ,,,5.04 ,38.95 ,,,,,,,,,,,,,,,,,,
2010-02-21,,,,26.70 ,24.26 ,22.64 ,,,,,,,,,,,,,,,,,,214.00 ,10.00 ,,,
2010-02-22,,,,26.56 ,24.36 ,22.54 ,4531.00 ,,4.90 ,38.63 ,,,,,,,9240.30 ,,,,,,,,,,,
2010-02-23,,,,26.63 ,24.50 ,22.52 ,4516.00 ,,4.78 ,39.15 ,,,,,,,9476.83 ,,,,,,,,,,,
2010-02-24,,,,26.53 ,24.38 ,22.32 ,4504.00 ,,4.82 ,39.50 ,,,,,,,9593.25 ,,,,,,,,,,,
2010-02-25,,,,26.73 ,24.24 ,22.26 ,4524.00 ,,4.77 ,39.40 ,,,,,,,9879.55 ,,,,,,,,,,,
2010-02-26,,,,26.73 ,24.40 ,22.30 ,4500.00 ,,4.81 ,39.03 ,,,,,,,9846.93 ,,,,,,,,,,,
2010-02-27,,,,26.60 ,24.38 ,22.30 ,,,,,,,,,,,,,,,,,,216.00 ,10.00 ,,,1000.00 
2010-02-28,4814.20 ,610562.00 ,275013.00 ,,,,,7.59 ,,,,,,,,100.00 ,,6100.87 ,4115.74 ,1556.58 ,122.60 ,309933.00 ,279368.00 ,,,87.57 ,2355.00 ,
2010-03-01,,,,25.97 ,24.26 ,22.06 ,4534.00 ,,4.68 ,39.40 ,,,,,,,10044.78 ,,,,,,,,,,,
2010-03-02,,,,25.67 ,24.12 ,22.02 ,4512.00 ,,4.71 ,38.85 ,,,,,,,9929.30 ,,,,,,,,,,,
2010-03-03,,,,25.70 ,24.34 ,21.80 ,4520.00 ,,4.76 ,38.60 ,,,,,,,9991.46 ,,,,,,,,,,,
2010-03-04,,,,25.87 ,24.26 ,21.64 ,4550.00 ,,4.58 ,38.05 ,,,,,,,9456.48 ,,,,,,,,,,,
2010-03-05,,,,25.87 ,24.24 ,21.44 ,4539.00 ,,4.59 ,38.03 ,,,,,,,9323.39 ,,,,,,,,,,,
2010-03-08,,,,25.43 ,24.22 ,21.22 ,4570.00 ,,4.53 ,38.27 ,,,,,,,9415.21 ,,,,,,,,,,,
2010-03-09,,,,25.50 ,24.10 ,21.22 ,4562.00 ,,4.52 ,37.69 ,,,,,,,9372.46 ,,,,,,,,,,,
2010-03-10,,,,24.50 ,24.30 ,21.20 ,4564.00 ,,4.56 ,38.31 ,,,,,,,9164.45 ,,,,,,,216.00 ,10.00 ,,,1000.00 
2010-03-11,,,,23.83 ,23.74 ,21.20 ,4558.00 ,,4.44 ,38.18 ,,,,,,,9053.73 ,,,,,,,,,,,
2010-03-12,,,,23.17 ,23.60 ,21.18 ,4562.00 ,,4.40 ,38.17 ,,,,,,,9035.90 ,,,,,,,,,,,
2010-03-15,,,,23.03 ,23.78 ,21.22 ,4545.00 ,,4.39 ,38.79 ,,,,,,,9209.66 ,,,,,,,,,,,
2010-03-16,,,,23.60 ,23.68 ,21.22 ,4526.00 ,,4.35 ,38.10 ,,,,,,,9223.12 ,,,,,,,,,,,
2010-03-17,,,,22.80 ,24.02 ,21.26 ,4577.00 ,,4.30 ,37.41 ,,,,,,,9439.13 ,,,,,,,,,,,
2010-03-18,,,,22.90 ,23.84 ,21.30 ,4636.00 ,,4.09 ,36.55 ,,,,,,,9451.71 ,,,,,,,,,,,
2010-03-19,,,,21.67 ,22.82 ,21.30 ,4634.00 ,,4.17 ,36.58 ,,,,,,,9421.86 ,,,,,,,216.00 ,13.00 ,,,1000.00 
2010-03-22,,,,21.33 ,22.96 ,21.22 ,4604.00 ,,4.08 ,37.22 ,,,,,,,9457.97 ,,,,,,,,,,,
2010-03-23,,,,21.00 ,23.08 ,21.20 ,4616.00 ,,4.13 ,37.43 ,,,,,,,9220.10 ,,,,,,,,,,,
2010-03-24,,,,21.37 ,22.84 ,21.30 ,4627.00 ,,4.11 ,37.04 ,,,,,,,9209.34 ,,,,,,,,,,,
2010-03-25,,,,21.67 ,22.84 ,21.26 ,4611.00 ,,3.98 ,37.40 ,,,,,,,9065.20 ,,,,,,,,,,,
2010-03-26,,,,21.17 ,22.86 ,21.26 ,4631.00 ,,3.87 ,37.55 ,,,,,,,9304.89 ,,,,,,,,,,,
2010-03-29,,,,21.33 ,22.96 ,21.21 ,4652.00 ,,3.84 ,37.10 ,,,,,,,9393.65 ,,,,,,,216.00 ,13.00 ,,,
2010-03-30,,,,21.20 ,23.06 ,21.00 ,4668.00 ,,3.97 ,37.46 ,,,,,,,9444.29 ,,,,,,,,,,,
2010-03-31,5390.10 ,721324.00 ,376716.00 ,21.00 ,22.82 ,21.44 ,4654.00 ,7.59 ,3.87 ,36.94 ,,,,,,100.00 ,9427.45 ,11116.96 ,7976.80 ,3558.54 ,174.80 ,347281.00 ,382173.00 ,,,89.97 ,2625.00 ,
2010-04-01,,,,21.50 ,23.00 ,21.00 ,4680.00 ,,4.09 ,36.80 ,,,,,,,9746.97 ,,,,,,,,,,,
2010-04-02,,,,21.90 ,23.10 ,20.96 ,4705.00 ,,,,,,,,,,9656.41 ,,,,,,,,,,,
2010-04-05,,,,21.73 ,22.98 ,21.22 ,,,4.28 ,,,,,,,,,,,,,,,,,,,
2010-04-06,,,,21.67 ,23.28 ,21.26 ,4739.00 ,,4.10 ,42.23 ,,,,,,,9495.41 ,,,,,,,,,,,
2010-04-07,,,,22.03 ,23.10 ,21.22 ,4732.00 ,,4.02 ,38.66 ,,,,,,,9564.51 ,,,,,,,,,,,
2010-04-08,,,,22.23 ,22.96 ,21.16 ,4715.00 ,,3.91 ,38.10 ,,,,,,,9814.04 ,,,,,,,,,,,
2010-04-09,,,,23.03 ,23.00 ,21.44 ,4729.00 ,,4.07 ,39.53 ,,,,,,,9954.40 ,,,,,,,,,,,
2010-04-10,,,,22.97 ,23.14 ,21.22 ,,,,,,,,,,,,,,,,,,217.00 ,13.00 ,,,700.00 
2010-04-12,,,,24.33 ,23.28 ,21.50 ,4754.00 ,,4.01 ,38.92 ,,,,,,,10469.67 ,,,,,,,,,,,
2010-04-13,,,,25.00 ,23.80 ,21.50 ,4748.00 ,,4.16 ,38.92 ,,,,,,,10278.73 ,,,,,,,,,,,
2010-04-14,,,,24.70 ,23.62 ,21.26 ,4760.00 ,,4.20 ,40.66 ,,,,,,,10463.84 ,,,,,,,,,,,
2010-04-15,,,,23.90 ,23.40 ,21.58 ,4772.00 ,,3.99 ,39.92 ,,,,,,,9626.23 ,,,,,,,,,,,
2010-04-16,,,,24.80 ,23.34 ,21.50 ,4772.00 ,,4.04 ,39.09 ,,,,,,,9634.05 ,,,,,,,,,,,
2010-04-19,,,,24.57 ,23.12 ,21.54 ,4730.00 ,,3.94 ,39.32 ,,,,,,,9210.55 ,,,,,,,,,,,
2010-04-20,,,,25.20 ,23.70 ,21.54 ,4742.00 ,,3.98 ,39.89 ,,,,,,,9423.27 ,,,,,,,,,,,
2010-04-21,,,,25.63 ,24.12 ,21.76 ,4767.00 ,,3.96 ,41.67 ,,,,,,,9620.43 ,,,,,,,217.00 ,13.00 ,,,700.00 
2010-04-22,,,,25.73 ,24.06 ,21.78 ,4753.00 ,,4.13 ,40.46 ,,,,,,,9714.02 ,,,,,,,,,,,
2010-04-23,,,,25.57 ,24.10 ,21.90 ,4752.00 ,,4.26 ,41.57 ,,,,,,,9704.68 ,,,,,,,,,,,
2010-04-26,,,,25.70 ,24.14 ,21.80 ,4766.00 ,,4.26 ,44.55 ,,,,,,,9525.76 ,,,,,,,,,,,
2010-04-27,,,,25.63 ,24.16 ,21.78 ,4749.00 ,,4.22 ,46.56 ,,,,,,,9277.57 ,,,,,,,,,,,
2010-04-28,,,,25.70 ,24.02 ,21.96 ,4707.00 ,,4.27 ,44.81 ,,,,,,,9165.24 ,,,,,,,,,,,
2010-04-29,,,,25.73 ,24.12 ,21.68 ,4736.00 ,,3.98 ,43.98 ,,,,,,,9071.63 ,,,,,,,,,,,
2010-04-30,5188.50 ,809744.00 ,381930.00 ,25.77 ,24.12 ,21.84 ,4764.00 ,8.35 ,3.92 ,43.49 ,,,,,,100.00 ,8642.33 ,15020.06 ,12425.24 ,5486.48 ,159.80 ,249123.00 ,381959.00 ,221.00 ,11.00 ,90.96 ,2398.00 ,2850.00 
2010-05-03,,,,25.60 ,24.00 ,22.00 ,,,4.00 ,,,,,,,,,,,,,,,,,,,
2010-05-04,,,,25.50 ,24.12 ,21.78 ,4791.00 ,,4.01 ,42.66 ,,,,,,,8648.24 ,,,,,,,,,,,
2010-05-05,,,,25.63 ,24.10 ,21.80 ,4738.00 ,,3.99 ,45.97 ,,,,,,,8913.56 ,,,,,,,,,,,
2010-05-06,,,,25.63 ,24.06 ,21.80 ,4740.00 ,,3.93 ,48.80 ,,,,,,,8775.34 ,,,,,,,,,,,
2010-05-07,,,,25.53 ,24.18 ,21.90 ,4650.00 ,,4.02 ,49.36 ,,,,,,,8584.40 ,,,,,,,,,,,
2010-05-10,,,,25.00 ,24.12 ,22.06 ,4667.00 ,,4.17 ,47.85 ,,,,,,,8268.71 ,,,,,,,,,,,
2010-05-11,,,,24.83 ,23.96 ,22.02 ,4681.00 ,,4.13 ,46.60 ,,,,,,,8083.93 ,,,,,,,221.00 ,11.00 ,,,2850.00 
2010-05-12,,,,24.87 ,24.08 ,21.92 ,4678.00 ,,4.28 ,45.80 ,,,,,,,7769.99 ,,,,,,,,,,,
2010-05-13,,,,25.00 ,24.06 ,21.96 ,4678.00 ,,4.34 ,44.92 ,,,,,,,7958.47 ,,,,,,,,,,,
2010-05-14,,,,24.87 ,24.06 ,22.00 ,4661.00 ,,4.31 ,47.07 ,,,,,,,8036.70 ,,,,,,,,,,,
2010-05-17,,,,24.80 ,24.00 ,21.92 ,4523.00 ,,4.40 ,45.54 ,,,,,,,7291.92 ,,,,,,,,,,,
2010-05-18,,,,24.70 ,24.04 ,21.90 ,4524.00 ,,4.34 ,47.23 ,,,,,,,7321.21 ,,,,,,,,,,,
2010-05-19,,,,24.70 ,23.98 ,21.88 ,4482.00 ,,4.16 ,46.66 ,,,,,,,7531.49 ,,,,,,,,,,,
2010-05-20,,,,24.57 ,24.04 ,21.92 ,4504.00 ,,4.11 ,46.71 ,,,,,,,7463.57 ,,,,,,,,,,,
2010-05-21,,,,24.37 ,23.92 ,21.84 ,4375.00 ,,4.04 ,48.21 ,,,,,,,7400.81 ,,,,,,,221.00 ,9.00 ,,,
2010-05-24,,,,24.20 ,23.98 ,21.70 ,4381.00 ,,4.02 ,49.07 ,,,,,,,7937.81 ,,,,,,,,,,,
2010-05-25,,,,24.37 ,23.88 ,21.74 ,4369.00 ,,4.05 ,46.98 ,,,,,,,7915.81 ,,,,,,,,,,,
2010-05-26,,,,24.30 ,23.98 ,21.68 ,4373.00 ,,4.16 ,47.41 ,,,,,,,7857.74 ,,,,,,,,,,,
2010-05-27,,,,24.23 ,23.98 ,21.68 ,4391.00 ,,4.29 ,45.95 ,,,,,,,7993.39 ,,,,,,,,,,,
2010-05-28,,,,24.30 ,23.92 ,21.74 ,4470.00 ,,4.34 ,46.63 ,,,,,,,8011.93 ,,,,,,,,,,,
2010-05-31,5389.50 ,922399.00 ,389607.00 ,24.10 ,23.92 ,21.60 ,4448.00 ,7.87 ,,,,,,,,100.00 ,7550.73 ,19158.11 ,15760.19 ,7016.35 ,145.80 ,235412.00 ,351819.00 ,222.00 ,10.00 ,95.20 ,2204.00 ,600.00 
2010-06-01,,,,24.13 ,23.72 ,21.54 ,4419.00 ,,4.25 ,45.96 ,,,,,,,7303.30 ,,,,,,,,,,,
2010-06-02,,,,24.40 ,23.72 ,21.50 ,4358.00 ,,4.42 ,47.46 ,,,,,,,7466.56 ,,,,,,,,,,,
2010-06-03,,,,24.10 ,23.78 ,21.52 ,4388.00 ,,4.69 ,47.73 ,,,,,,,7477.20 ,,,,,,,,,,,
2010-06-04,,,,24.10 ,23.74 ,21.46 ,4384.00 ,,4.80 ,50.46 ,,,,,,,7399.75 ,,,,,,,,,,,
2010-06-07,,,,24.47 ,23.76 ,21.48 ,4204.00 ,,4.92 ,51.60 ,,,,,,,7281.38 ,,,,,,,,,,,
2010-06-08,,,,24.37 ,23.72 ,21.64 ,4278.00 ,,4.81 ,52.46 ,,,,,,,7488.18 ,,,,,,,,,,,
2010-06-09,,,,24.37 ,23.70 ,21.56 ,4311.00 ,,4.68 ,53.00 ,,,,,,,7729.36 ,,,,,,,,,,,
2010-06-10,,,,24.27 ,23.72 ,21.54 ,4336.00 ,,4.65 ,51.37 ,,,,,,,7772.10 ,,,,,,,223.00 ,10.00 ,,,1750.00 
2010-06-11,,,,24.30 ,23.76 ,21.58 ,4352.00 ,,4.78 ,50.70 ,,,,,,,7791.06 ,,,,,,,,,,,
2010-06-14,,,,24.33 ,23.72 ,21.36 ,,,5.01 ,52.92 ,,,,,,,,,,,,,,,,,,
2010-06-15,,,,24.37 ,23.72 ,21.60 ,,,5.19 ,54.62 ,,,,,,,,,,,,,,,,,,
2010-06-16,,,,24.27 ,23.74 ,21.52 ,,,4.98 ,52.97 ,,,,,,,,,,,,,,,,,,
2010-06-17,,,,24.20 ,23.70 ,21.44 ,4359.00 ,,5.16 ,57.50 ,,,,,,,7769.95 ,,,,,,,,,,,
2010-06-18,,,,24.30 ,23.74 ,21.52 ,4347.00 ,,5.00 ,53.34 ,,,,,,,7668.98 ,,,,,,,,,,,
2010-06-21,,,,24.27 ,23.50 ,21.40 ,4397.00 ,,4.87 ,53.15 ,,,,,,,7817.17 ,,,,,,,230.00 ,9.00 ,,,3600.00 
2010-06-22,,,,24.07 ,23.52 ,21.40 ,4390.00 ,,4.76 ,51.10 ,,,,,,,8146.39 ,,,,,,,,,,,
2010-06-23,,,,24.17 ,23.46 ,21.36 ,4375.00 ,,4.80 ,51.46 ,,,,,,,8035.41 ,,,,,,,,,,,
2010-06-24,,,,24.07 ,23.44 ,21.30 ,4375.00 ,,4.75 ,51.04 ,,,,,,,8071.30 ,,,,,,,,,,,
2010-06-25,,,,24.10 ,23.38 ,21.32 ,4362.00 ,,4.86 ,50.64 ,,,,,,,8168.69 ,,,,,,,,,,,
2010-06-28,,,,24.13 ,23.48 ,21.32 ,4396.00 ,,4.72 ,51.85 ,,,,,,,8251.42 ,,,,,,,,,,,
2010-06-29,,,,24.13 ,23.40 ,21.48 ,4360.00 ,,4.55 ,52.10 ,,,,,,,7956.17 ,,,,,,,,,,,
2010-06-30,5502.20 ,932389.00 ,410552.00 ,24.20 ,23.36 ,21.32 ,4320.00 ,8.06 ,4.62 ,52.30 ,,,,,,100.00 ,7468.34 ,24423.57 ,19819.85 ,9291.39 ,142.60 ,296867.00 ,391391.00 ,230.00 ,7.00 ,95.09 ,2322.00 ,2930.00 
2010-07-01,,,,24.00 ,23.36 ,21.44 ,4308.00 ,,4.85 ,53.53 ,,,,,,,7537.35 ,,,,,,,,,,,
2010-07-02,,,,23.73 ,23.38 ,21.38 ,4272.00 ,,4.69 ,54.01 ,,,,,,,7279.84 ,,,,,,,,,,,
2010-07-05,,,,23.83 ,23.42 ,21.30 ,4297.00 ,,,55.10 ,,,,,,,7088.11 ,,,,,,,,,,,
2010-07-06,,,,23.93 ,23.40 ,21.38 ,4269.00 ,,4.68 ,54.65 ,,,,,,,7245.20 ,,,,,,,,,,,
2010-07-07,,,,23.77 ,23.46 ,21.26 ,4276.00 ,,4.57 ,53.75 ,,,,,,,7365.95 ,,,,,,,,,,,
2010-07-08,,,,23.97 ,23.46 ,21.30 ,4314.00 ,,4.40 ,54.37 ,,,,,,,7180.21 ,,,,,,,,,,,
2010-07-09,,,,23.43 ,23.46 ,21.46 ,4314.00 ,,4.40 ,54.88 ,,,,,,,7445.85 ,,,,,,,,,,,
2010-07-12,,,,23.13 ,23.40 ,21.36 ,4303.00 ,,4.39 ,53.17 ,,,,,,,7536.36 ,,,,,,,231.00 ,7.00 ,,,3630.00 
2010-07-13,,,,23.13 ,23.54 ,21.26 ,4268.00 ,,4.35 ,53.12 ,,,,,,,7393.77 ,,,,,,,,,,,
2010-07-14,,,,23.10 ,23.28 ,21.36 ,4286.00 ,,4.31 ,50.35 ,,,,,,,7828.06 ,,,,,,,,,,,
2010-07-15,,,,23.03 ,23.48 ,21.26 ,4279.00 ,,4.59 ,49.76 ,,,,,,,7585.69 ,,,,,,,,,,,
2010-07-16,,,,23.07 ,23.54 ,21.60 ,4268.00 ,,4.52 ,48.78 ,,,,,,,7610.69 ,,,,,,,,,,,
2010-07-19,,,,23.07 ,23.30 ,21.40 ,4254.00 ,,4.51 ,48.05 ,,,,,,,7715.97 ,,,,,,,,,,,
2010-07-20,,,,23.03 ,23.46 ,21.50 ,4264.00 ,,4.59 ,47.07 ,,,,,,,7899.79 ,,,,,,,,,,,
2010-07-21,,,,22.97 ,23.42 ,21.54 ,4268.00 ,,4.51 ,45.92 ,,,,,,,7857.24 ,,,,,,,232.00 ,7.00 ,,,2300.00 
2010-07-22,,,,22.93 ,23.44 ,21.36 ,4254.00 ,,4.64 ,47.94 ,,,,,,,7928.71 ,,,,,,,,,,,
2010-07-23,,,,22.80 ,23.38 ,21.44 ,4302.00 ,,4.58 ,48.30 ,,,,,,,7918.41 ,,,,,,,,,,,
2010-07-26,,,,22.90 ,23.52 ,21.52 ,4303.00 ,,4.61 ,46.76 ,,,,,,,7986.79 ,,,,,,,,,,,
2010-07-27,,,,22.83 ,23.32 ,21.46 ,4322.00 ,,4.68 ,46.03 ,,,,,,,8083.27 ,,,,,,,,,,,
2010-07-28,,,,22.87 ,23.42 ,21.54 ,4295.00 ,,4.77 ,46.47 ,,,,,,,8188.11 ,,,,,,,,,,,
2010-07-29,,,,22.87 ,23.40 ,21.38 ,4325.00 ,,4.83 ,48.64 ,,,,,,,8246.16 ,,,,,,,,,,,
2010-07-30,,,,22.83 ,23.56 ,21.58 ,4417.00 ,,4.92 ,47.93 ,,,,,,,8229.38 ,,,,,,,,,,,
2010-07-31,5098.70 ,977209.00 ,420914.00 ,22.70 ,23.50 ,21.54 ,,8.48 ,,,,,,,,100.00 ,,28603.48 ,22885.69 ,10728.71 ,134.20 ,299636.00 ,377656.00 ,232.00 ,7.00 ,97.07 ,2129.00 ,1700.00 
2010-08-02,,,,22.73 ,23.54 ,21.76 ,4475.00 ,,4.70 ,45.37 ,,,,,,,8282.71 ,,,,,,,,,,,
2010-08-03,,,,22.67 ,23.48 ,21.64 ,4498.00 ,,4.64 ,45.24 ,,,,,,,8084.52 ,,,,,,,,,,,
2010-08-04,,,,22.77 ,23.40 ,21.60 ,4470.00 ,,4.74 ,44.75 ,,,,,,,8139.94 ,,,,,,,,,,,
2010-08-05,,,,22.63 ,23.42 ,21.56 ,4468.00 ,,4.60 ,44.25 ,,,,,,,8260.74 ,,,,,,,,,,,
2010-08-06,,,,22.73 ,23.56 ,21.44 ,4477.00 ,,4.47 ,43.12 ,,,,,,,8483.35 ,,,,,,,,,,,
2010-08-09,,,,22.70 ,23.56 ,21.78 ,4498.00 ,,4.31 ,44.31 ,,,,,,,8576.35 ,,,,,,,,,,,
2010-08-10,,,,22.73 ,23.54 ,22.00 ,4487.00 ,,4.30 ,43.97 ,,,,,,,8132.22 ,,,,,,,,,,,
2010-08-11,,,,22.73 ,23.64 ,21.72 ,4466.00 ,,4.33 ,43.90 ,,,,,,,8241.22 ,,,,,,,,,,,
2010-08-12,,,,22.70 ,23.56 ,21.48 ,4398.00 ,,4.30 ,42.96 ,,,,,,,8235.01 ,,,,,,,232.00 ,9.00 ,,,1000.00 
2010-08-13,,,,22.90 ,23.68 ,21.44 ,4402.00 ,,4.33 ,42.48 ,,,,,,,8363.62 ,,,,,,,,,,,
2010-08-16,,,,22.80 ,23.50 ,21.50 ,4413.00 ,,4.23 ,41.46 ,,,,,,,8538.56 ,,,,,,,,,,,
2010-08-17,,,,22.93 ,23.60 ,21.70 ,4426.00 ,,4.27 ,41.48 ,,,,,,,8796.33 ,,,,,,,,,,,
2010-08-18,,,,23.27 ,23.56 ,21.70 ,4447.00 ,,4.24 ,40.74 ,,,,,,,8662.75 ,,,,,,,,,,,
2010-08-19,,,,22.70 ,23.68 ,21.42 ,4479.00 ,,4.17 ,41.46 ,,,,,,,8606.85 ,,,,,,,,,,,
2010-08-20,,,,22.90 ,23.72 ,21.54 ,4484.00 ,,4.12 ,42.59 ,,,,,,,8278.12 ,,,,,,,,,,,
2010-08-23,,,,23.37 ,23.72 ,21.78 ,4415.00 ,,4.07 ,41.92 ,,,,,,,8271.98 ,,,,,,,233.00 ,10.00 ,,,
2010-08-24,,,,23.50 ,23.60 ,21.94 ,4363.00 ,,4.04 ,40.74 ,,,,,,,8472.96 ,,,,,,,,,,,
2010-08-25,,,,23.37 ,23.76 ,21.86 ,4362.00 ,,3.87 ,40.41 ,,,,,,,8123.13 ,,,,,,,,,,,
2010-08-26,,,,23.50 ,23.62 ,21.80 ,4390.00 ,,3.82 ,41.30 ,,,,,,,8153.37 ,,,,,,,,,,,
2010-08-27,,,,23.43 ,23.62 ,21.92 ,4380.00 ,,3.65 ,40.85 ,,,,,,,8297.81 ,,,,,,,,,,,
2010-08-30,,,,23.70 ,23.84 ,21.88 ,4423.00 ,,3.81 ,,,,,,,,8452.42 ,,,,,,,,,,,
2010-08-31,5081.20 ,924879.00 ,432789.00 ,23.53 ,23.72 ,21.84 ,4367.00 ,8.57 ,3.82 ,41.83 ,,,,,,100.00 ,8405.05 ,32347.59 ,26418.24 ,12269.24 ,133.10 ,225634.00 ,282020.00 ,233.00 ,11.00 ,98.13 ,1941.00 ,
