指标名称,出口价格指数(HS2):第58章特种机织物;簇绒织物;花边;装饰毯;装饰带;刺绣品,出口价格指数(HS2):第59章浸渍、涂布、包裹或层压的纺织物;工业用纺织品,出口价格指数(HS2):第60章针织物及钩编织物,出口价格指数(HS2):第64章鞋靴、护腿和类似品及其零件,出口价格指数(HS2):第51章羊毛;动物细毛或粗毛;马毛、纱线及其机织物,现货价:棉花:中等级:布基纳法索RUDY,现货价:粗麻布:纽约,"市场价:全棉坯布:47""21*21 90*50","市场价:人棉坯布:50""30*30 68*68","市场价:涤棉坯布:T/C65/35 21*21 63""108*58","市场价:棉氨弹力布:64""32*32+40D 133*56斜纹","市场价:全棉牛仔布:47""10*7 70*42 3/1","市场价:亚麻粘混纺布:55/45 63""51*47 11*11","市场价:涤棉床上用品布:T/C80/20 82"" 30*30 76*54",产品价格指数:坯布:32支纯棉斜纹布,柯桥纺织:价格指数:坯布类:天然纤维,柯桥纺织:价格指数:坯布类:化学纤维,柯桥纺织:价格指数:坯布类:混纺纤维,中国通州家纺价格指数:宽幅斜纹布,市场价:涤纶长丝牛津布(150D*300D)):盛泽地区,溢流染加工费:牛津布(210克以上):盛泽地区,中国盛泽化纤价格指数:化纤面料:涤纶弹丝牛津布,产量:布:当月值,产量:纱:当月值,产量:棉布:当月值,产量:色织布(含牛仔布):当月值,产量:化学纤维布:当月值,产量:棉混纺布:当月值,产量:印染布:当月值,产量:亚麻布(含亚麻≥55%):当月值,产量:无纺布(无纺织物):当月值,产量:绒线(毛线):当月值,产量:毛机织物(呢绒):当月值,现货价:羊毛纤维(64S):美国,市场价:16支兔羊毛纱80/20,南京进口羊毛价格综合指数,进口数量:羊毛:当月值,纯化纤布:产量:累计值,市场价:腈纶曲珠纱:最低价,柯桥纺织:价格指数:原料类:涤纶,申万行业指数:毛纺,申万行业指数:棉纺,出口金额:毛纺机织物:当月值,申万行业指数:印染
2012-01-18,,,,,,105.75 ,0.46 ,,,,,,,,6.63 ,,,,,,,93.68 ,,,,,,,,,,,,,,,,,,,1518.65 ,1580.40 ,,932.00 
2012-01-19,,,,,,105.25 ,0.46 ,6.08 ,4.85 ,7.42 ,8.15 ,7.90 ,9.50 ,7.10 ,,,,,,,,93.56 ,,,,,,,,,,,,,,,,,,,1522.78 ,1585.85 ,,940.44 
2012-01-20,,,,,,105.75 ,0.46 ,,,,,,,,,,,,,,,93.49 ,,,,,,,,,,,,,,8230.00 ,,,,,1516.16 ,1605.31 ,,952.01 
2012-01-23,,,,,,106.25 ,0.46 ,,,,,,,,,,,,,,,93.29 ,,,,,,,,,,,,,,,,,,,,,,
2012-01-24,,,,,,107.00 ,0.48 ,,,,,,,,,,,,,,,93.07 ,,,,,,,,,,,,,,,,,,,,,,
2012-01-25,,,,,,105.75 ,0.48 ,,,,,,,,,,,,,,,93.07 ,,,,,,,,,,,,,,,,,,,,,,
2012-01-26,,,,,,104.50 ,0.48 ,,,,,,,,,,,,,,,92.81 ,,,,,,,,,,,,,,,,,,,,,,
2012-01-27,,,,,,103.00 ,0.48 ,,,,,,,,,,,,,,,92.81 ,,,,,,,,,,,,,,,,,,,,,,
2012-01-30,,,,,,103.00 ,0.48 ,6.08 ,4.85 ,7.42 ,8.15 ,7.90 ,9.50 ,7.10 ,6.63 ,,,,,,,92.78 ,,,,,,,,,,,,,91300.00 ,,,,28700.00 ,,1508.11 ,1582.63 ,,951.98 
2012-01-31,106.60 ,94.40 ,104.00 ,116.50 ,127.00 ,102.50 ,0.49 ,,,,,,,,6.63 ,,,,,,1.00 ,92.69 ,42.36 ,207.30 ,248374.86 ,16466.84 ,114432.31 ,58961.66 ,477380.26 ,1840.66 ,113820.21 ,21414.00 ,4321.45 ,,,,17052.00 ,,,,1489.89 ,1592.00 ,4379.40 ,952.17 
2012-02-01,,,,,,102.25 ,0.49 ,,,,,,,,6.63 ,,,,133.75 ,4.20 ,,92.34 ,,,,,,,,,,,,,,,,,,,1492.85 ,1582.72 ,,945.19 
2012-02-02,,,,,,102.75 ,0.49 ,6.08 ,4.85 ,7.42 ,8.15 ,7.90 ,9.50 ,7.10 ,6.65 ,,,,133.20 ,4.20 ,,92.22 ,,,,,,,,,,,,,,,,,,,1533.04 ,1609.60 ,,974.55 
2012-02-03,,,,,,103.50 ,0.49 ,,,,,,,,6.66 ,,,,133.24 ,4.20 ,,92.10 ,,,,,,,,,,,,,,8450.00 ,,,,,1559.66 ,1641.91 ,,988.89 
2012-02-06,,,,,,105.50 ,0.49 ,6.08 ,4.87 ,7.45 ,8.15 ,7.90 ,9.50 ,7.10 ,6.67 ,,,,133.44 ,4.20 ,,92.17 ,,,,,,,,,,,,,,,,,,,1583.19 ,1660.97 ,,998.96 
2012-02-07,,,,,,105.75 ,0.48 ,,,,,,,,6.67 ,,,,133.19 ,4.20 ,,91.66 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,,1582.61 ,1624.20 ,,979.00 
2012-02-08,,,,,,104.25 ,0.48 ,,,,,,,,6.68 ,,,,133.06 ,4.20 ,,91.90 ,,,,,,,,,,,,,,,,,,,1620.46 ,1671.92 ,,1002.19 
2012-02-09,,,,,,103.50 ,0.48 ,6.10 ,4.90 ,7.45 ,8.15 ,7.90 ,9.50 ,7.10 ,6.69 ,,,,133.26 ,4.20 ,,92.27 ,,,,,,,,,,,,,,,,,,,1637.43 ,1689.43 ,,1003.51 
2012-02-10,,,,,,100.50 ,0.48 ,,,,,,,,6.69 ,,,,133.25 ,4.20 ,,92.08 ,,,,,,,,,,,,,,8710.00 ,,,,,1644.09 ,1694.67 ,,1008.12 
2012-02-13,,,,,,100.50 ,0.48 ,6.10 ,4.90 ,7.45 ,8.15 ,7.90 ,9.50 ,7.10 ,6.71 ,,,,133.34 ,4.20 ,,91.98 ,,,,,,,,,,,,,,,,,,,1660.10 ,1712.44 ,,1018.85 
2012-02-14,,,,,,100.75 ,0.48 ,,,,,,,,6.72 ,,,,134.00 ,4.20 ,,92.23 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,,1654.24 ,1721.93 ,,1020.55 
2012-02-15,,,,,,101.00 ,0.48 ,,,,,,,,6.72 ,,,,133.81 ,4.20 ,,92.37 ,,,,,,,,,,,,,,,,,,,1689.14 ,1761.11 ,,1044.43 
2012-02-16,,,,,,101.50 ,0.48 ,6.10 ,4.90 ,7.45 ,8.15 ,7.90 ,9.50 ,7.10 ,6.72 ,,,,133.74 ,4.20 ,,92.37 ,,,,,,,,,,,,,,,,,,,1739.00 ,1753.72 ,,1039.40 
2012-02-17,,,,,,101.50 ,0.48 ,,,,,,,,6.72 ,,,,133.53 ,4.20 ,,92.47 ,,,,,,,,,,,,,,8700.00 ,,,,,1706.11 ,1743.24 ,,1037.15 
2012-02-20,,,,,,100.50 ,,6.10 ,4.90 ,7.45 ,8.15 ,7.90 ,9.50 ,7.10 ,6.72 ,116.43 ,100.99 ,95.56 ,133.55 ,4.20 ,,92.47 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,93.23 ,1692.80 ,1744.31 ,,1039.82 
2012-02-21,,,,,,100.50 ,0.48 ,,,,,,,,6.71 ,,,,133.52 ,4.20 ,1.00 ,92.57 ,,,,,,,,,,,,,,,,,,,1713.98 ,1755.32 ,,1045.54 
2012-02-22,,,,,,100.75 ,0.48 ,,,,,,,,6.71 ,,,,133.94 ,4.20 ,,93.06 ,,,,,,,,,,,,,,,,,,,1737.19 ,1803.12 ,,1063.79 
2012-02-23,,,,,,99.75 ,0.48 ,6.10 ,4.90 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.71 ,,,,134.20 ,4.20 ,,93.28 ,,,,,,,,,,,,,,,,,,,1738.93 ,1801.39 ,,1063.66 
2012-02-24,,,,,,99.75 ,0.48 ,,,,,,,,6.71 ,,,,134.46 ,4.20 ,,93.28 ,,,,,,,,,,,,,,8620.00 ,,,,,1771.36 ,1817.87 ,,1080.99 
2012-02-27,,,,,,99.50 ,0.48 ,6.10 ,4.90 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.70 ,116.44 ,101.43 ,95.12 ,134.60 ,4.20 ,,93.46 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,93.19 ,1759.89 ,1820.25 ,,1083.92 
2012-02-28,,,,,,100.00 ,0.48 ,,,,,,,,6.70 ,,,,134.68 ,4.20 ,,93.83 ,,,,,,,,,,,,,,,,,,,1717.55 ,1802.56 ,,1079.67 
2012-02-29,108.90 ,90.20 ,102.60 ,117.60 ,121.50 ,101.50 ,0.48 ,,,,,,,,6.70 ,,,,134.32 ,4.20 ,,93.95 ,48.01 ,236.99 ,259719.45 ,18753.28 ,140608.76 ,77679.10 ,405523.64 ,2198.61 ,167386.63 ,28851.61 ,4819.71 ,,,,25034.00 ,,,,1697.84 ,1780.32 ,2103.80 ,1067.59 
2012-03-01,,,,,,99.75 ,0.48 ,6.10 ,4.90 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.69 ,,,,134.08 ,4.20 ,,94.00 ,,,,,,,,,,,,,,,,,,,1699.66 ,1793.72 ,,1081.56 
2012-03-02,,,,,,99.00 ,0.48 ,,,,,,,,6.69 ,,,,134.04 ,4.20 ,,94.51 ,,,,,,,,,,,,,,8655.00 ,,,,,1731.99 ,1838.27 ,,1100.64 
2012-03-05,,,,,,97.50 ,,6.10 ,4.90 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.68 ,118.11 ,101.35 ,94.97 ,133.76 ,4.20 ,,94.64 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,93.09 ,1741.37 ,1832.71 ,,1110.55 
2012-03-06,,,,,,101.50 ,0.47 ,,,,,,,,6.68 ,,,,133.53 ,4.20 ,,94.78 ,,,,,,,,,,,,,,,,,,,1729.26 ,1816.22 ,,1090.24 
2012-03-07,,,,,,100.75 ,0.47 ,,,,,,,,6.68 ,,,,133.60 ,4.20 ,,94.93 ,,,,,,,,,,,,,,,,,,,1727.55 ,1790.72 ,,1081.94 
2012-03-08,,,,,,99.50 ,0.47 ,6.10 ,4.88 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.68 ,,,,133.96 ,4.20 ,1.00 ,94.96 ,,,,,,,,,,,,,,,,,,,1754.50 ,1829.39 ,,1099.06 
2012-03-09,,,,,,99.00 ,0.47 ,,,,,,,,6.68 ,,,,133.91 ,4.20 ,,95.06 ,,,,,,,,,,,,,,8575.00 ,,,,,1767.46 ,1849.84 ,,1114.60 
2012-03-12,,,,,,98.25 ,0.47 ,6.10 ,4.86 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.67 ,117.83 ,100.93 ,94.77 ,134.00 ,4.20 ,,96.21 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,92.29 ,1887.94 ,1852.18 ,,1112.77 
2012-03-13,,,,,,97.50 ,0.47 ,,,,,,,,6.66 ,,,,133.96 ,4.20 ,,96.01 ,,,,,,,,,,,,,,,,,,,1890.12 ,1874.92 ,,1115.87 
2012-03-14,,,,,,97.50 ,0.47 ,,,,,,,,6.65 ,,,,133.96 ,4.20 ,,95.79 ,,,,,,,,,,,,,,,,,,,1830.77 ,1776.10 ,,1058.09 
2012-03-15,,,,,,96.50 ,0.47 ,6.10 ,4.85 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,6.65 ,,,,133.65 ,4.20 ,,95.65 ,,,,,,,,,,,,,,,,,,,1789.35 ,1727.96 ,,1037.75 
2012-03-16,,,,,,96.50 ,0.47 ,,,,,,,,6.65 ,,,,133.30 ,4.20 ,,95.40 ,,,,,,,,,,,,5.04 ,,8550.00 ,,,,,1910.73 ,1772.04 ,,1061.36 
2012-03-19,,,,,,96.75 ,0.47 ,6.10 ,4.85 ,7.43 ,8.15 ,7.90 ,9.50 ,7.10 ,,119.05 ,101.53 ,95.82 ,132.80 ,4.20 ,,95.23 ,,,,,,,,,,,,5.04 ,,,,,,91.33 ,1929.84 ,1798.72 ,,1088.27 
2012-03-20,,,,,,97.75 ,0.47 ,,,,,,,,,,,,132.85 ,4.20 ,1.00 ,95.09 ,,,,,,,,,,,,5.04 ,91300.00 ,,,,28800.00 ,,1892.54 ,1747.23 ,,1065.87 
2012-03-21,,,,,,96.75 ,0.46 ,,,,,,,,,,,,132.88 ,4.20 ,,95.26 ,,,,,,,,,,,,5.04 ,,,,,,,1943.39 ,1763.94 ,,1073.66 
2012-03-22,,,,,,96.75 ,0.46 ,6.10 ,4.85 ,7.43 ,8.15 ,7.88 ,9.50 ,7.10 ,,,,,132.71 ,4.20 ,,95.43 ,,,,,,,,,,,,5.04 ,,,,,,,1916.25 ,1776.06 ,,1086.60 
2012-03-23,,,,,,98.00 ,0.46 ,,,,,,,,6.62 ,,,,133.03 ,4.20 ,,95.26 ,,,,,,,,,,,,5.04 ,,8500.00 ,,,,,1866.37 ,1735.03 ,,1063.56 
2012-03-26,,,,,,98.00 ,0.46 ,,,,,,,,6.60 ,118.26 ,101.07 ,94.25 ,133.33 ,4.20 ,,95.92 ,,,,,,,,,,,,5.04 ,,,,,,90.58 ,1893.48 ,1732.09 ,,1059.57 
2012-03-27,,,,,,99.25 ,0.45 ,,,,,,,,6.60 ,,,,132.14 ,4.20 ,,96.29 ,,,,,,,,,,,,5.04 ,91300.00 ,,,,28800.00 ,,1867.17 ,1722.21 ,,1049.36 
2012-03-28,,,,,,101.25 ,0.45 ,,,,,,,,6.59 ,,,,130.57 ,4.20 ,,96.29 ,,,,,,,,,,,,5.04 ,,,,,,,1742.77 ,1637.67 ,,1001.29 
2012-03-29,,,,,,102.75 ,0.45 ,6.10 ,4.85 ,7.43 ,8.15 ,7.88 ,9.50 ,7.10 ,6.58 ,,,,129.32 ,4.20 ,,96.02 ,,,,,,,,,,,,5.04 ,,,,,,,1733.92 ,1599.70 ,,981.20 
2012-03-30,,,,,,102.25 ,0.45 ,,,,,,,,6.58 ,,,,127.50 ,4.20 ,,96.02 ,,,,,,,,,,,,5.04 ,,8468.00 ,,,,,1746.32 ,1577.23 ,,982.66 
2012-03-31,101.30 ,88.90 ,98.70 ,111.10 ,118.10 ,,,,,,,,,,6.58 ,,,,126.09 ,4.20 ,,,53.80 ,278.80 ,311029.78 ,19989.72 ,144962.25 ,81155.36 ,543947.44 ,3242.18 ,200593.36 ,45211.94 ,7207.86 ,,,,30829.00 ,35.38 ,,,,,5366.20 ,
2012-04-01,,,,,,,,6.10 ,4.85 ,7.43 ,8.15 ,7.88 ,9.50 ,7.10 ,6.57 ,,,,125.55 ,4.20 ,,,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,,,,,
2012-04-02,,,,,,102.25 ,,,,,,,,,,117.50 ,100.66 ,93.72 ,,,,95.95 ,,,,,,,,,,,,,,,,,,90.61 ,,,,
2012-04-03,,,,,,101.75 ,,,,,,,,,,,,,,,,95.78 ,,,,,,,,,,,,,,,,,,,,,,
2012-04-04,,,,,,101.25 ,0.47 ,,,,,,,,,,,,,,,95.49 ,,,,,,,,,,,,5.04 ,,,,,,,,,,
2012-04-05,,,,,,98.25 ,0.47 ,6.10 ,4.83 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.56 ,,,,126.39 ,4.20 ,,95.29 ,,,,,,,,,,,,5.04 ,,,,,,,1791.93 ,1620.46 ,,1007.76 
2012-04-06,,,,,,,,,,,,,,,6.56 ,,,,125.93 ,4.20 ,1.00 ,95.19 ,,,,,,,,,,,,,,8365.00 ,,,,,1799.36 ,1632.31 ,,1012.31 
2012-04-09,,,,,,,,6.10 ,4.83 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.55 ,117.92 ,101.34 ,95.36 ,125.91 ,4.20 ,,95.19 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,89.57 ,1768.93 ,1619.97 ,,1017.74 
2012-04-10,,,,,,98.25 ,,,,,,,,,6.55 ,,,,125.70 ,4.20 ,,95.27 ,,,,,,,,,,,,,,,,,,,1787.25 ,1634.39 ,,1034.51 
2012-04-11,,,,,,97.75 ,,,,,,,,,6.54 ,,,,125.49 ,4.20 ,,95.27 ,,,,,,,,,,,,,,,,,,,1804.53 ,1652.18 ,,1050.44 
2012-04-12,,,,,,97.75 ,,,,,,,,,6.54 ,,,,124.85 ,4.20 ,,94.83 ,,,,,,,,,,,,,,,,,,,1851.22 ,1686.63 ,,1066.21 
2012-04-13,,,,,,99.25 ,0.46 ,,,,,,,,6.54 ,,,,125.23 ,4.20 ,,94.68 ,,,,,,,,,,,,4.91 ,,8310.00 ,,,,,1839.86 ,1695.43 ,,1075.70 
2012-04-16,,,,,,98.75 ,0.46 ,6.10 ,4.85 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.54 ,116.54 ,101.19 ,94.87 ,125.47 ,4.20 ,,94.68 ,,,,,,,,,,,,4.91 ,91300.00 ,,,,28800.00 ,88.67 ,1886.79 ,1711.60 ,,1080.54 
2012-04-17,,,,,,96.25 ,0.46 ,,,,,,,,6.54 ,,,,125.85 ,4.20 ,,94.49 ,,,,,,,,,,,,4.91 ,,,,,,,1829.88 ,1670.57 ,,1053.30 
2012-04-18,,,,,,96.75 ,0.46 ,,,,,,,,6.53 ,,,,126.23 ,4.20 ,,94.90 ,,,,,,,,,,,,4.91 ,,,,,,,1857.34 ,1712.73 ,,1077.20 
2012-04-19,,,,,,98.50 ,0.46 ,6.06 ,4.85 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.53 ,,,,126.38 ,4.20 ,,95.47 ,,,,,,,,,,,,4.91 ,,,,,,,1843.55 ,1716.32 ,,1070.26 
2012-04-20,,,,,,99.00 ,0.46 ,,,,,,,,6.52 ,,,,126.73 ,4.20 ,,95.52 ,,,,,,,,,,,,,,8186.00 ,,,,,1842.93 ,1742.04 ,,1075.64 
2012-04-23,,,,,,99.00 ,,,,,,,,,6.52 ,117.89 ,100.02 ,95.51 ,126.59 ,4.20 ,,95.59 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,88.97 ,1822.76 ,1705.29 ,,1060.36 
2012-04-24,,,,,,100.00 ,0.46 ,,,,,,,,6.52 ,,,,125.92 ,4.20 ,,96.25 ,,,,,,,,,,,,,,,,,,,1802.43 ,1692.77 ,,1043.48 
2012-04-25,,,,,,99.00 ,0.45 ,,,,,,,,6.52 ,,,,125.14 ,4.20 ,1.00 ,96.08 ,,,,,,,,,,,,,,,,,,,1819.82 ,1712.51 ,,1071.05 
2012-04-26,,,,,,98.00 ,0.45 ,6.06 ,4.85 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.51 ,,,,124.36 ,4.20 ,,96.08 ,,,,,,,,,,,,,,,,,,,1832.77 ,1694.60 ,,1068.29 
2012-04-27,,,,,,99.25 ,0.45 ,,,,,,,,6.51 ,,,,123.74 ,4.20 ,,96.08 ,,,,,,,,,,,,,,8152.00 ,,,,,1823.77 ,1674.65 ,,1088.92 
2012-04-28,,,,,,,,,,,,,,,,,,,123.53 ,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-30,101.10 ,89.00 ,98.80 ,124.70 ,113.70 ,98.25 ,0.45 ,,,,,,,,,118.22 ,101.61 ,94.51 ,,,,96.33 ,51.50 ,263.50 ,292956.67 ,19706.97 ,141766.69 ,81262.42 ,553925.94 ,3776.66 ,192558.84 ,31466.87 ,4436.75 ,,,,31610.00 ,,,88.90 ,,,6203.50 ,
2012-05-01,,,,,,96.25 ,0.45 ,,,,,,,,,,,,,,,96.38 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,,,,,
2012-05-02,,,,,,96.25 ,0.45 ,6.06 ,4.88 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.50 ,,,,123.65 ,4.20 ,,96.60 ,,,,,,,,,,,,,,,,,,,1853.17 ,1676.95 ,,1092.22 
2012-05-03,,,,,,96.25 ,0.45 ,,,,,,,,6.50 ,,,,124.32 ,4.20 ,,96.90 ,,,,,,,,,,,,,,,,,,,1855.91 ,1680.21 ,,1080.75 
2012-05-04,,,,,,96.25 ,0.45 ,,,,,,,,6.50 ,,,,125.06 ,4.20 ,,96.72 ,,,,,,,,,,,,5.03 ,,8132.00 ,,,,,1858.26 ,1686.71 ,,1082.16 
2012-05-07,,,,,,,0.45 ,6.06 ,4.88 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.50 ,118.42 ,101.45 ,95.65 ,124.37 ,4.20 ,,97.24 ,,,,,,,,,,,,5.03 ,91300.00 ,,,,28800.00 ,88.98 ,1861.91 ,1690.97 ,,1101.55 
2012-05-08,,,,,,93.25 ,0.45 ,,,,,,,,,,,,124.58 ,4.20 ,,97.24 ,,,,,,,,,,,,5.03 ,,,,,,,1861.35 ,1701.51 ,,1086.46 
2012-05-09,,,,,,92.75 ,0.45 ,,,,,,,,6.50 ,,,,125.19 ,4.20 ,,97.24 ,,,,,,,,,,,,5.03 ,,,,,,,1810.67 ,1683.59 ,,1067.85 
2012-05-10,,,,,,92.50 ,0.45 ,6.06 ,4.88 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.50 ,,,,125.41 ,4.20 ,,97.83 ,,,,,,,,,,,,5.03 ,,,,,,,1812.49 ,1673.27 ,,1073.14 
2012-05-11,,,,,,88.50 ,0.45 ,,,,,,,,6.48 ,,,,125.32 ,,,97.63 ,,,,,,,,,,,,5.03 ,,8110.00 ,,,,,1803.44 ,1656.34 ,,1073.25 
2012-05-14,,,,,,85.75 ,,6.06 ,4.88 ,7.40 ,8.15 ,7.88 ,9.50 ,7.10 ,6.47 ,120.48 ,101.77 ,94.02 ,126.32 ,4.20 ,,97.44 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,88.94 ,1783.36 ,1656.42 ,,1077.37 
2012-05-15,,,,,,85.75 ,0.45 ,,,,,,,,6.46 ,,,,126.50 ,4.20 ,,97.29 ,,,,,,,,,,,,5.03 ,,,,,,,1768.30 ,1645.53 ,,1071.15 
2012-05-16,,,,,,86.00 ,0.45 ,,,,,,,,6.46 ,,,,125.04 ,4.20 ,,96.98 ,,,,,,,,,,,,5.03 ,,,,,,,1767.24 ,1626.42 ,,1063.54 
2012-05-17,,,,,,84.00 ,0.45 ,6.06 ,4.88 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.45 ,,,,124.73 ,4.20 ,,96.98 ,,,,,,,,,,,,5.03 ,,,,,,,1796.65 ,1644.15 ,,1085.53 
2012-05-18,,,,,,84.00 ,0.45 ,,,,,,,,6.44 ,,,,125.05 ,4.20 ,,96.90 ,,,,,,,,,,,,5.03 ,,7980.00 ,,,,,1780.47 ,1634.03 ,,1084.83 
2012-05-21,,,,,,85.25 ,0.45 ,6.05 ,4.88 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.43 ,118.60 ,102.73 ,96.26 ,125.19 ,4.20 ,,96.88 ,,,,,,,,,,,,5.03 ,91300.00 ,,,,28800.00 ,88.80 ,1762.18 ,1626.97 ,,1076.10 
2012-05-22,,,,,,85.00 ,0.45 ,,,,,,,,6.42 ,,,,125.43 ,4.20 ,,96.68 ,,,,,,,,,,,,5.03 ,,,,,,,1784.57 ,1656.50 ,,1094.85 
2012-05-23,,,,,,84.00 ,0.45 ,,,,,,,,6.42 ,,,,126.83 ,4.20 ,,96.61 ,,,,,,,,,,,,5.03 ,,,,,,,1766.97 ,1648.96 ,,1086.79 
2012-05-24,,,,,,81.00 ,0.44 ,6.05 ,4.86 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.41 ,,,,127.04 ,4.20 ,,96.44 ,,,,,,,,,,,,5.03 ,,,,,,,1762.60 ,1645.27 ,,1069.10 
2012-05-25,,,,,,83.50 ,0.44 ,,,,,,,,6.40 ,,,,127.24 ,4.20 ,,96.47 ,,,,,,,,,,,,4.36 ,,7820.00 ,,,,,1717.83 ,1632.46 ,,1053.83 
2012-05-28,,,,,,83.25 ,,6.05 ,4.85 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.40 ,120.29 ,100.90 ,95.08 ,127.46 ,4.20 ,1.00 ,96.61 ,,,,,,,,,,,,,91300.00 ,,,,28800.00 ,88.66 ,1739.90 ,1640.99 ,,1065.03 
2012-05-29,,,,,,83.25 ,0.44 ,,,,,,,,6.40 ,,,,126.96 ,4.20 ,,96.47 ,,,,,,,,,,,,4.36 ,,,,,,,1769.20 ,1657.46 ,,1072.82 
2012-05-30,,,,,,83.25 ,0.44 ,,,,,,,,6.39 ,,,,126.68 ,4.20 ,,96.35 ,,,,,,,,,,,,4.36 ,,,,,,,1783.28 ,1659.08 ,,1073.95 
2012-05-31,100.70 ,95.70 ,99.40 ,115.10 ,106.50 ,81.50 ,0.44 ,6.05 ,4.85 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.39 ,,,,126.33 ,4.20 ,,96.32 ,55.40 ,266.90 ,309309.85 ,20191.54 ,158148.76 ,86311.23 ,550784.20 ,4378.77 ,198367.41 ,34223.91 ,5691.67 ,4.36 ,,,33321.00 ,,,,1772.09 ,1653.81 ,8412.60 ,1071.49 
2012-06-01,,,,,,81.50 ,0.44 ,,,,,,,,6.38 ,,,,125.64 ,4.20 ,,96.27 ,,,,,,,,,,,,4.36 ,,7705.00 ,,,,,1756.85 ,1650.00 ,,1064.01 
2012-06-04,,,,,,,0.44 ,6.05 ,4.85 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.37 ,121.73 ,101.75 ,95.50 ,124.98 ,4.20 ,,96.20 ,,,,,,,,,,,,4.36 ,,,,,,88.33 ,1691.81 ,1598.36 ,,1016.64 
2012-06-05,,,,,,,0.44 ,,,,,,,,6.36 ,,,,124.12 ,4.20 ,,96.10 ,,,,,,,,,,,,4.36 ,91000.00 ,,,,28800.00 ,,1695.63 ,1603.46 ,,1017.26 
2012-06-06,,,,,,77.00 ,0.44 ,,,,,,,,6.36 ,,,,123.38 ,4.20 ,,96.03 ,,,,,,,,,,,,4.36 ,,,,,,,1704.72 ,1602.97 ,,1005.39 
2012-06-07,,,,,,80.00 ,,6.05 ,4.85 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,6.36 ,,,,122.39 ,4.20 ,,96.08 ,,,,,,,,,,,,,,,,,,,1708.07 ,1590.54 ,,998.54 
2012-06-08,,,,,,83.00 ,0.44 ,,,,,,,,6.36 ,,,,122.02 ,4.20 ,,96.45 ,,,,,,,,,,,,,,7615.00 ,,,,,1693.08 ,1567.62 ,,987.60 
2012-06-11,,,,,,82.00 ,0.44 ,6.05 ,4.85 ,7.38 ,8.15 ,7.88 ,9.50 ,7.10 ,,123.43 ,101.68 ,94.87 ,121.76 ,4.20 ,,96.45 ,,,,,,,,,,,,,91000.00 ,,,,28800.00 ,87.19 ,1705.49 ,1579.85 ,,998.63 
2012-06-12,,,,,,81.50 ,0.44 ,,,,,,,,6.36 ,,,,122.02 ,4.20 ,,96.23 ,,,,,,,,,,,,,,,,,,,1688.56 ,1571.16 ,,1003.30 
2012-06-13,,,,,,81.50 ,0.43 ,,,,,,,,6.35 ,,,,121.28 ,4.20 ,,96.30 ,,,,,,,,,,,,,,,,,,,1713.40 ,1605.31 ,,1025.29 
2012-06-14,,,,,,82.50 ,0.43 ,6.05 ,4.85 ,7.38 ,8.15 ,7.86 ,9.50 ,7.10 ,6.35 ,,,,121.29 ,4.20 ,,96.18 ,,,,,,,,,,,,,,,,,,,1690.80 ,1610.24 ,,1035.26 
2012-06-15,,,,,,82.50 ,0.43 ,,,,,,,,6.35 ,,,,121.41 ,4.20 ,,96.06 ,,,,,,,,,,,,,,7515.00 ,,,,,1689.43 ,1604.74 ,,1035.58 
