"公司名称","报告期","净资产"
"广西柳工机械股份有限公司",2016-03-31,8930478934.82
"广西柳工机械股份有限公司",2016-06-30,8844941113.15
"广西柳工机械股份有限公司",2016-09-30,8830921188.44
"广西柳工机械股份有限公司",2016-12-31,8847390923.02
"广西柳工机械股份有限公司",2017-03-31,8990177911.51
"广西柳工集团有限公司",2016-03-31,10195920407.7
"广西柳工集团有限公司",2016-06-30,9992114949.05
"广西柳工集团有限公司",2016-09-30,10099952464.85
"广西柳工集团有限公司",2016-12-31,10091344183.43
"广西柳工集团有限公司",2017-03-31,10083119322.1
