"公司名称","报告期","商业债权长期应收款占比"
"广西柳工机械股份有限公司",2016-03-31,0
"广西柳工机械股份有限公司",2016-06-30,0
"广西柳工机械股份有限公司",2016-09-30,0
"广西柳工机械股份有限公司",2016-12-31,1.04233963118951
"广西柳工机械股份有限公司",2017-03-31,0.832269535032015
"广西柳工集团有限公司",2016-03-31,0
"广西柳工集团有限公司",2016-06-30,0
"广西柳工集团有限公司",2016-09-30,0
"广西柳工集团有限公司",2016-12-31,0.695787627716888
"广西柳工集团有限公司",2017-03-31,0.600198934479121
