时间,秦皇岛港:平仓价:大同优混(Q5800K)
2013/12/2,610
2013/12/4,0
2013/12/9,630
2013/12/11,0
2013/12/16,655
2013/12/18,0
2013/12/23,665
2013/12/25,0
2013/12/30,675
2014/1/6,640
2014/1/8,0
2014/1/13,625
2014/1/15,0
2014/1/20,605
2014/1/22,0
2014/1/27,595
2014/1/29,0
2014/2/3,580
2014/2/10,545
2014/2/12,0
2014/2/17,545
2014/2/19,0
2014/2/24,575
2014/2/26,0
2014/3/3,585
2014/3/5,0
2014/3/10,575
2014/3/12,0
2014/3/17,570
2014/3/19,0
2014/3/24,570
2014/3/26,0
2014/3/31,570
2014/4/2,0
2014/4/9,0
2014/4/14,575
2014/4/16,0
2014/4/21,575
2014/4/23,0
2014/4/28,575
2014/4/30,0
2014/5/5,575
2014/5/7,0
2014/5/12,575
2014/5/14,0
2014/5/19,575
2014/5/21,0
2014/5/26,567
2014/5/28,0
2014/6/2,565
2014/6/4,0
2014/6/9,562.5
2014/6/11,0
2014/6/16,560
2014/6/18,0
2014/6/23,555
2014/6/25,0
2014/6/30,552
2014/7/2,0
2014/7/7,547
2014/7/9,0
2014/7/14,540
2014/7/16,0
2014/7/21,535
2014/7/23,0
2014/7/28,531.25
2014/7/30,0
2014/8/4,518
2014/8/6,0
2014/8/11,518
2014/8/13,0
2014/8/18,524
2014/8/20,0
2014/8/25,525
2014/8/27,0
2014/9/1,525
2014/9/3,0
2014/9/8,527
2014/9/10,0
2014/9/15,530
2014/9/17,0
2014/9/22,530
2014/9/24,0
2014/9/29,530
2014/9/30,0
2014/10/6,530
2014/10/8,0
2014/10/13,527.5
2014/10/15,0
2014/10/20,535
2014/10/22,0
2014/10/27,540
2014/10/29,0
2014/11/3,540
2014/11/5,0
2014/11/10,550
2014/11/12,0
2014/11/17,555
2014/11/19,0
2014/11/24,555
2014/11/26,0
2014/12/1,555
2014/12/3,0
2014/12/8,559
2014/12/10,0
2014/12/15,560
2014/12/17,0
2014/12/22,563
2014/12/24,0
2014/12/29,565
2014/12/31,0
2015/1/5,556.25
2015/1/7,0
2015/1/12,550
2015/1/14,0
2015/1/19,550
2015/1/21,0
2015/1/26,550
2015/1/28,0
2015/2/2,550
2015/2/4,0
2015/2/9,548
2015/2/11,0
2015/2/16,543.33
2015/2/17,0
2015/2/23,535
2015/3/2,532
2015/3/4,0
2015/3/9,528
2015/3/11,0
2015/3/16,525
2015/3/18,0
2015/3/23,523
2015/3/25,0
2015/3/30,513
2015/4/1,0
2015/4/6,502
2015/4/8,0
2015/4/13,488.75
2015/4/15,0
2015/4/20,473
2015/4/22,0
2015/4/27,457
2015/4/29,0
2015/5/4,455
2015/5/6,0
2015/5/11,444
2015/5/13,0
2015/5/18,440
2015/5/20,0
2015/5/25,446
2015/5/27,0
2015/6/1,455
2015/6/3,0
2015/6/8,455
2015/6/10,0
2015/6/15,455
2015/6/17,0
2015/6/22,450
2015/6/24,0
2015/6/29,450
2015/7/1,0
2015/7/6,450
2015/7/8,0
2015/7/13,450
2015/7/15,0
2015/7/20,438
2015/7/22,0
2015/7/27,430.8
2015/7/29,0
2015/8/3,428.6
2015/8/5,0
2015/8/10,428
2015/8/12,0
2015/8/17,426
2015/8/19,0
2015/8/24,424.6
2015/8/26,0
2015/8/31,423.2
2015/9/2,0
2015/9/7,422
2015/9/9,0
2015/9/14,421.4
2015/9/16,0
2015/9/21,418.6
2015/9/23,0
2015/9/28,416.8
2015/9/30,0
2015/10/5,416
2015/10/12,415.33
2015/10/14,0
2015/10/19,412
2015/10/21,0
2015/10/26,408
2015/10/28,0
2015/11/2,396
2015/11/4,0
2015/11/9,392.6
2015/11/11,0
2015/11/16,387.6
2015/11/18,0
2015/11/23,385
2015/11/25,0
2015/11/30,385
2015/12/2,0
2015/12/7,385.6
2015/12/9,0
2015/12/14,388.8
2015/12/16,0
2015/12/17,0
2015/12/18,0
2015/12/21,391.2
2015/12/22,0
2015/12/23,0
2015/12/24,0
2015/12/25,0
2015/12/28,394
2015/12/29,0
2015/12/30,0
2015/12/31,0
2016/1/4,398.5
2016/1/5,0
2016/1/6,0
2016/1/7,0
2016/1/8,0
2016/1/11,400
2016/1/12,0
2016/1/13,0
2016/1/14,0
2016/1/15,0
2016/1/18,398.2
2016/1/19,0
2016/1/20,0
2016/1/21,0
2016/1/22,0
2016/1/25,399
2016/1/26,0
2016/1/27,0
2016/1/28,0
2016/1/29,0
2016/2/1,401.4
