指标名称,水泥价格指数:全国,房地产开发投资完成额:累计值,水泥:产量:累计值,水泥:销量:累计值,水泥:库存比年初增长,产量:水泥:北京:当月值,产量:水泥:天津:当月值,产量:水泥:河北:当月值,产量:水泥:山西:当月值,产量:水泥:内蒙古:当月值,产量:水泥:辽宁:当月值,产量:水泥:吉林:当月值,产量:水泥:黑龙江:当月值,产量:水泥:上海:当月值,产量:水泥:江苏:当月值,产量:水泥:浙江:当月值,产量:水泥:安徽:当月值,产量:水泥:福建:当月值,产量:水泥:江西:当月值,产量:水泥:山东:当月值,产量:水泥:河南:当月值,产量:水泥:湖北:当月值,产量:水泥:湖南:当月值,产量:水泥:广东:当月值,产量:水泥:广西:当月值,产量:水泥:海南:当月值,产量:水泥:重庆:当月值,产量:水泥:四川:当月值,产量:水泥:贵州:当月值,产量:水泥:云南:当月值,产量:水泥:西藏:当月值,产量:水泥:陕西:当月值,产量:水泥:甘肃:当月值,产量:水泥:青海:当月值,产量:水泥:宁夏:当月值,产量:水泥:新疆:当月值,产量:水泥熟料:北京:当月值,产量:水泥熟料:天津:当月值,产量:水泥熟料:河北:当月值,产量:水泥熟料:山西:当月值,产量:水泥熟料:内蒙古:当月值,产量:水泥熟料:辽宁:当月值,产量:水泥熟料:吉林:当月值,产量:水泥熟料:黑龙江:当月值,产量:水泥熟料:上海:当月值,产量:水泥熟料:江苏:当月值,产量:水泥熟料:浙江:当月值,产量:水泥熟料:安徽:当月值,产量:水泥熟料:福建:当月值,产量:水泥熟料:江西:当月值,产量:水泥熟料:山东:当月值,产量:水泥熟料:河南:当月值,产量:水泥熟料:湖北:当月值,产量:水泥熟料:湖南:当月值,产量:水泥熟料:广东:当月值,产量:水泥熟料:广西:当月值,产量:水泥熟料:海南:当月值,产量:水泥熟料:重庆:当月值,产量:水泥熟料:四川:当月值,产量:水泥熟料:贵州:当月值,产量:水泥熟料:云南:当月值,产量:水泥熟料:西藏:当月值,产量:水泥熟料:陕西:当月值,产量:水泥熟料:甘肃:当月值,产量:水泥熟料:青海:当月值,产量:水泥熟料:宁夏:当月值,产量:水泥熟料:新疆:当月值,产量:窑外分解窑水泥熟料:北京:当月值,产量:窑外分解窑水泥熟料:天津:当月值,产量:窑外分解窑水泥熟料:河北:当月值,产量:窑外分解窑水泥熟料:山西:当月值,产量:窑外分解窑水泥熟料:内蒙古:当月值,产量:窑外分解窑水泥熟料:辽宁:当月值,产量:窑外分解窑水泥熟料:吉林:当月值,产量:窑外分解窑水泥熟料:黑龙江:当月值,产量:窑外分解窑水泥熟料:上海:当月值,产量:窑外分解窑水泥熟料:江苏:当月值,产量:窑外分解窑水泥熟料:浙江:当月值,产量:窑外分解窑水泥熟料:安徽:当月值,产量:窑外分解窑水泥熟料:福建:当月值,产量:窑外分解窑水泥熟料:江西:当月值,产量:窑外分解窑水泥熟料:山东:当月值,产量:窑外分解窑水泥熟料:河南:当月值,产量:窑外分解窑水泥熟料:湖北:当月值,产量:窑外分解窑水泥熟料:湖南:当月值,产量:窑外分解窑水泥熟料:广东:当月值,产量:窑外分解窑水泥熟料:广西:当月值,产量:窑外分解窑水泥熟料:海南:当月值,产量:窑外分解窑水泥熟料:重庆:当月值,产量:窑外分解窑水泥熟料:四川:当月值,产量:窑外分解窑水泥熟料:贵州:当月值,产量:窑外分解窑水泥熟料:云南:当月值,产量:窑外分解窑水泥熟料:西藏:当月值,产量:窑外分解窑水泥熟料:陕西:当月值,产量:窑外分解窑水泥熟料:甘肃:当月值,产量:窑外分解窑水泥熟料:青海:当月值,产量:窑外分解窑水泥熟料:宁夏:当月值,产量:窑外分解窑水泥熟料:新疆:当月值,产量:商品混凝土:北京:当月值,产量:商品混凝土:天津:当月值,产量:商品混凝土:河北:当月值,产量:商品混凝土:山西:当月值,产量:商品混凝土:内蒙古:当月值,产量:商品混凝土:辽宁:当月值,产量:商品混凝土:吉林:当月值,产量:商品混凝土:黑龙江:当月值,产量:商品混凝土:上海:当月值,产量:商品混凝土:江苏:当月值,产量:商品混凝土:浙江:当月值,产量:商品混凝土:安徽:当月值,产量:商品混凝土:福建:当月值,产量:商品混凝土:江西:当月值,产量:商品混凝土:山东:当月值,产量:商品混凝土:河南:当月值,产量:商品混凝土:湖北:当月值,产量:商品混凝土:湖南:当月值,产量:商品混凝土:广东:当月值,产量:商品混凝土:广西:当月值,产量:商品混凝土:海南:当月值,产量:商品混凝土:重庆:当月值,产量:商品混凝土:四川:当月值,产量:商品混凝土:贵州:当月值,产量:商品混凝土:云南:当月值,产量:商品混凝土:陕西:当月值,产量:商品混凝土:甘肃:当月值,产量:商品混凝土:青海:当月值,产量:商品混凝土:宁夏:当月值,产量:商品混凝土:新疆:当月值,产量:水泥混凝土排水管:北京:当月值,产量:水泥混凝土排水管:天津:当月值,产量:水泥混凝土排水管:河北:当月值,产量:水泥混凝土排水管:山西:当月值,产量:水泥混凝土排水管:内蒙古:当月值,产量:水泥混凝土排水管:辽宁:当月值,产量:水泥混凝土排水管:黑龙江:当月值,产量:水泥混凝土排水管:上海:当月值,产量:水泥混凝土排水管:江苏:当月值,产量:水泥混凝土排水管:浙江:当月值,产量:水泥混凝土排水管:安徽:当月值,产量:水泥混凝土排水管:福建:当月值,产量:水泥混凝土排水管:江西:当月值,产量:水泥混凝土排水管:山东:当月值,产量:水泥混凝土排水管:河南:当月值,产量:水泥混凝土排水管:湖北:当月值,产量:水泥混凝土排水管:湖南:当月值,产量:水泥混凝土排水管:广东:当月值,产量:水泥混凝土排水管:广西:当月值,产量:水泥混凝土排水管:海南:当月值,产量:水泥混凝土排水管:重庆:当月值,产量:水泥混凝土排水管:四川:当月值,产量:水泥混凝土排水管:云南:当月值,产量:水泥混凝土排水管:陕西:当月值,产量:水泥混凝土排水管:宁夏:当月值,产量:水泥混凝土排水管:新疆:当月值,产量:水泥混凝土电杆:天津:当月值,产量:水泥混凝土电杆:河北:当月值,产量:水泥混凝土电杆:山西:当月值,产量:水泥混凝土电杆:内蒙古:当月值,产量:水泥混凝土电杆:辽宁:当月值,产量:水泥混凝土电杆:吉林:当月值,产量:水泥混凝土电杆:黑龙江:当月值,产量:水泥混凝土电杆:江苏:当月值,产量:水泥混凝土电杆:浙江:当月值,产量:水泥混凝土电杆:安徽:当月值,产量:水泥混凝土电杆:福建:当月值,产量:水泥混凝土电杆:江西:当月值,产量:水泥混凝土电杆:山东:当月值,产量:水泥混凝土电杆:河南:当月值,产量:水泥混凝土电杆:湖北:当月值,产量:水泥混凝土电杆:湖南:当月值,产量:水泥混凝土电杆:广东:当月值,产量:水泥混凝土电杆:广西:当月值,产量:水泥混凝土电杆:重庆:当月值,产量:水泥混凝土电杆:四川:当月值,产量:水泥混凝土电杆:贵州:当月值,产量:水泥混凝土电杆:云南:当月值,产量:水泥混凝土电杆:陕西:当月值,产量:水泥混凝土电杆:甘肃:当月值,产量:水泥混凝土电杆:青海:当月值,产量:水泥混凝土电杆:宁夏:当月值,产量:水泥混凝土电杆:新疆:当月值,产量:预应力混凝土桩:天津:当月值,产量:预应力混凝土桩:河北:当月值,产量:预应力混凝土桩:辽宁:当月值,产量:预应力混凝土桩:上海:当月值,产量:预应力混凝土桩:江苏:当月值,产量:预应力混凝土桩:浙江:当月值,产量:预应力混凝土桩:安徽:当月值,产量:预应力混凝土桩:福建:当月值,产量:预应力混凝土桩:江西:当月值,产量:预应力混凝土桩:山东:当月值,产量:预应力混凝土桩:河南:当月值,产量:预应力混凝土桩:湖北:当月值,产量:预应力混凝土桩:湖南:当月值,产量:预应力混凝土桩:广东:当月值,产量:预应力混凝土桩:广西:当月值,产量:预应力混凝土桩:海南:当月值,产量:预应力混凝土桩:重庆:当月值,产量:预应力混凝土桩:四川:当月值,产量:预应力混凝土桩:云南:当月值,秦皇岛港:平仓价:大同优混(Q5800K),秦皇岛港:平仓价:山西大混(Q5000K),秦皇岛港:平仓价:普通混煤(Q4500K),出口数量:水泥,进口数量:水泥:当月值,进口数量:水泥熟料(25231000):当月值,进口数量:白水泥(25232100):当月值,进口数量:其他硅酸盐水泥(25232900):当月值,进口数量:矾土水泥(25233000):当月值,进口数量:其他水凝水泥(25239000):当月值
2012/4/16,122.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,685,585,,,,,,,
2012/4/17,122.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/18,121.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/19,121.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/20,121.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/23,121.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,690,590,,,,,,,
2012/4/24,121.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/25,121.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/27,120.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/4/30,,15835.19,,,,64.53,73.56,1260.93,433.65,501.01,554.49,351.34,353.26,73.06,1534.37,1096.4,959.22,686.03,601.41,1567.9,1399.06,970.95,853.01,891.46,772.87,137.2,434.41,1243.5,487.2,652.66,28.93,752.26,299.63,145.39,150.41,335.91,518709.24,151257,3179222.94,2799219.57,2790993.9,3783817.74,2443505.95,1732244.07,40058,5710819.6,4964176.2,10086448.62,3977225.23,3659154.76,6377422.69,6788141,5702953.17,4480432.48,6311114.82,5658034.27,1016887,3663280.76,7153562.48,3543997.95,4672018.29,241344.8,4455103.42,2253390.53,462761,830721.89,2397977.21,518709.24,151257,2662375.76,2149816.09,1844451,3098113.74,2114879.85,1256608.07,40058,5564042.41,4895570.2,9236240.44,3125208.9,2853110.47,4180861.43,5752696.59,3693687.19,2542226.25,5089387.15,3855829.68,1016887,2741628.88,3508825.11,2149330.04,3713989.24,193742.05,2985217.32,2039799.53,266943,502451,1703979.68,3850903.2,1163845.85,667580.42,481209.4,885911.04,814421.67,160664,214354.62,2606390.12,7475297.56,8411869.76,5103831.72,2521325.65,1447881.65,4515474.04,2922702.27,1372592.8,1582034,2376005.28,3396838.87,272813,3690202.37,4693893.49,621400.76,1067661.5,2334284.19,533514.08,75914,388592.02,1607936.54,6.11,1977.52,197.83,2.67,42.34,590.83,,,60.1,27.71,340.82,64.15,85.15,1762.84,399.2,569.41,530.81,43.46,33.15,,21.34,251.8,34.81,28.3,19.66,9.3,9780,7448,0,60984,37305,7120,12997,75595,61949.5,15968,78124,11550,20678,21005,33835,47541,30992,34745,17101,65253,12428,13317,14276,4817,897,3302,7982,242754,192963,157363,1113381,2693398,4476965,1381059.09,2579609,148815,634611,2332337,807279,79757,1973043.6,216712,54945,,209687,299439,840,685,585,,7.1,168,269,70158,550,3
2012/5/2,118.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/3,118.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/4,118.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/7,118.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,685,585,,,,,,,
2012/5/8,118.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/9,118.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/10,117.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/11,116.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/14,116.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,680,575,,,,,,,
2012/5/15,115.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/16,114.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/17,114.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/18,114.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/21,114.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,675,575,,,,,,,
2012/5/22,114.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/23,114.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/24,113.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/25,113.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/28,113.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,670,570,,,,,,,
2012/5/29,112.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/30,112.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/5/31,112.16,22212.93,,,,83.09,78.99,1431.29,483.25,651.45,636.63,488.08,453.46,75.88,1652.41,1058.87,940.41,611.62,582.89,1672.45,1318.17,947.88,784.43,919.42,825.03,133.57,426.32,1191.55,474.59,653.94,34.3,748.45,358.48,136.47,195.24,462.42,581533.51,157981,6287208.97,2638632.99,3234867.08,2944640.72,3051370.15,1527165.81,44514,6248648.55,5717079.6,11800025.13,3710421.18,3608019.24,8970429.85,7215689.9,4997484.43,4204331.33,6398576.5,5959832.5,977694,2552158.63,7320758.87,3446200.63,4422592.61,271637.4,3940357.6,2196258.59,720433,929258.34,2812346.49,581533.51,157981,5722084.97,1893118.03,2400347.78,2897940.72,2907663,1125297.81,44514,6140630.52,5631182.6,10898715.64,3251497.85,2942099.22,6520425.63,6113448.56,3033229.12,2574303.24,5292586.2,4706061.5,956739,1654734.5,4063748.92,2351135.31,3590476.95,214328.55,2903917.6,1951644.59,335620,607605.2,1980247.47,4100652.3,1154426.49,657766.78,596364.78,1134458.32,1485009.38,365654.7,463394.68,2542060.9,8576148.28,8948339.5,4489416.02,2286375.3,1234737.08,4997147.41,2787703.39,1815345,1589698.2,2486539.04,3161279.95,298721.14,3800161.6,5020469.53,622301.35,1103394.7,2798213.82,696793.4,159379,438095.48,2770944.1,7.21,68.45,194.7,2.44,24.31,263.53,13,,62.2,39.23,275.76,48.74,123.38,2088.48,381.2,366.04,689.7,40.21,36.75,,9.6,210.5,30.2,31.85,24.12,16.4,10293,8114,0,41151,46648,39600,12173,77879,60034,13927,83240,14372,29536,21604.7,30563,31513,84323,14909,16385,80079,22932,13523,15367,5518,658,3023,14009,150594,207194,253193,1359351,3340257,4322400,1729988.91,2466863,156450,568379,2347437,511070,112590,2208050.6,175873,56538,,341855,301039,,,,,7.59,10017,138,74918,544,298
2012/6/1,111.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/6/4,111.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,665,560,,,,,,,
2012/6/5,111.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/6/6,111.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/6/7,111.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/6/8,110.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
