,Myspic综合钢价指数,MySpic指数:长材,MySpic指数:扁平,钢材价格综合指数,MySpic指数:螺纹,MySpic指数:线材,MySpic指数:型材,MySpic指数:中厚,MySpic指数:热卷,MySpic指数:窄带,MySpic指数:冷板,MySpic指数:镀锌,MySpic指数:无缝管,MySpic指数:焊管,产量:焦炭:当月值,申万行业指数:焦炭加工,期货结算价(活跃合约):焦炭,期货结算价(活跃合约):焦煤,市场价(不含税):废钢:6-8mm:唐山,市场价(不含税):废钢:6-8mm:马鞍山,固定资产投资完成额:黑色金属矿采选业:累计值,固定资产投资完成额:制造业:黑色金属冶炼及压延加工业:累计值,螺纹钢:主要钢厂产能:全国,产能:粗钢,产能利用率:粗钢,淘汰落后产能:炼铁:任务完成量:全国,产量:铁矿石原矿量:当月值,进口金额:铁矿砂及其精矿:当月值,平均价:进口铁矿石,期货结算价(活跃合约):螺纹钢,期货结算价(活跃合约):线材,期货结算价(活跃合约):铁矿石,期货结算价(活跃合约):热轧卷板,期货结算价(活跃合约):锰硅,期货结算价(活跃合约):硅铁,铁矿石价格指数:62%Fe:CFR中国北方,MyIpic指数:进口矿:综合,MyIpic指数:国产矿:综合,价格:废钢,价格:钢坯,必和必拓:产量:铁矿石:当季值,淡水河谷:产量:铁矿石:当季值,力拓:产量:铁矿石:当季值,FMG:产量:铁矿石:当季值,到厂价(含税):二级冶金焦:上海,净出口数量:粗钢:当月值,出口平均单价:钢材:当月值,GDP:现价:房地产业:当季值,固定资产投资完成额:房地产业:累计值,固定资产投资完成额:基础设施建设投资:累计值,公共投资:重点基础设施建设投资,上海:规模以上工业总产值:电气机械及器材制造业:当月值,上海:规模以上工业总产值:铁路、船舶、航空航天和其他运输设备制造业:当月值,上海:规模以上工业总产值:汽车制造业:当月值,钢材:产量:累计值,钢材:销量:累计值,库存:螺纹钢,库存:线材,库存:热卷(板),库存:中板,库存:冷轧,房地产开发计划总投资:累计值,库存:汽车,螺纹钢:独联体:最高价(FOB),螺纹钢:美国:最高价(CIF),螺纹钢:日本:最高价(FOB),螺纹钢:西欧:平均价(FOB),唐山钢厂:高炉开工数,波罗的海干散货指数(BDI),唐山钢厂:产能利用率,唐山钢厂:在产产能
2010-01-01,143.20 ,155.50 ,131.20 ,,152.70 ,158.90 ,,144.50 ,140.60 ,,131.80 ,102.80 ,,,,,,,,,,,,,,,,,,,,,,,,,119.20 ,114.40 ,2650.00 ,3600.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,146.20 ,157.70 ,133.10 ,,154.80 ,161.00 ,,145.70 ,141.90 ,,132.40 ,103.20 ,,,,2793.66 ,,,2550.00 ,,,,,,,,,,,4576.00 ,4350.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,440.00 ,,,,,3140.00 ,,
2010-01-05,146.70 ,158.40 ,133.50 ,,155.50 ,161.80 ,,146.20 ,142.40 ,,132.70 ,103.30 ,,,,2932.37 ,,,2550.00 ,,,,,,,,,,,4590.00 ,4352.00 ,,,,,,,,2650.00 ,3420.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270.00 ,,
2010-01-06,147.30 ,159.20 ,133.80 ,,156.00 ,163.00 ,,146.60 ,142.50 ,,133.10 ,103.90 ,,,,2970.73 ,,,2550.00 ,,,,,,,,,,,4620.00 ,4372.00 ,,,,,,,,2650.00 ,3450.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,355.00 ,,3259.00 ,,
2010-01-07,147.90 ,159.90 ,134.40 ,,156.70 ,163.60 ,,147.60 ,143.30 ,,133.30 ,104.00 ,,,,2895.08 ,,,2550.00 ,,,,,,,,,,,4539.00 ,4310.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,445.00 ,,,,3149.00 ,,
2010-01-08,147.30 ,159.40 ,133.80 ,,155.90 ,163.40 ,,147.50 ,142.10 ,,133.10 ,103.90 ,,,,2883.01 ,,,2600.00 ,,,,,,,,,,,4456.00 ,4259.00 ,,,,,,128.00 ,120.00 ,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,470.51 ,118.68 ,428.29 ,122.15 ,123.99 ,,,,,,,123.00 ,3140.00 ,,
2010-01-11,147.00 ,158.50 ,134.00 ,,154.80 ,162.70 ,,147.50 ,142.50 ,,133.10 ,103.90 ,,,,2865.80 ,,,2700.00 ,,,,,,,,,,,4502.00 ,4300.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,455.00 ,,,,,3148.00 ,,
2010-01-12,147.10 ,158.40 ,134.20 ,,154.70 ,162.70 ,,147.50 ,142.90 ,,133.10 ,104.00 ,,,,2905.34 ,,,2700.00 ,,,,,,,,,,,4503.00 ,4293.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160.00 ,,
2010-01-13,147.10 ,158.50 ,134.00 ,,154.70 ,163.00 ,,147.50 ,142.30 ,,133.30 ,104.30 ,,,,2845.41 ,,,2700.00 ,,,,,,,,,,,4420.00 ,4215.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,365.00 ,,3175.00 ,,
2010-01-14,147.00 ,158.40 ,134.10 ,,154.60 ,162.80 ,,147.50 ,142.60 ,,133.20 ,104.30 ,,,,2875.75 ,,,2650.00 ,,,,,,,,,,,4448.00 ,4246.00 ,,,,,,,,2650.00 ,3450.00 ,,,,,,,,,,,,,,,,,,,,,,,,,505.00 ,,,,3235.00 ,,
2010-01-15,146.90 ,158.20 ,134.00 ,,154.50 ,162.60 ,,147.40 ,142.40 ,,133.10 ,104.20 ,,,,2872.43 ,,,2650.00 ,,,,,,,,,,,4395.00 ,4191.00 ,,,,,,131.00 ,128.20 ,2650.00 ,3450.00 ,,,,,,,,,,,,,,,,,489.42 ,122.81 ,438.82 ,121.06 ,126.20 ,,,,,,,123.00 ,3299.00 ,,
2010-01-18,146.20 ,157.60 ,133.20 ,,153.80 ,162.00 ,,147.10 ,140.80 ,,132.70 ,104.10 ,,,,2872.87 ,,,2600.00 ,,,,,,,,,,,4374.00 ,4184.00 ,,,,,,,,2650.00 ,3360.00 ,,,,,,,,,,,,,,,,,,,,,,,,465.00 ,,,,,3295.00 ,,
2010-01-19,146.00 ,157.20 ,133.10 ,,153.40 ,161.70 ,,147.00 ,140.80 ,,132.50 ,103.90 ,,,,2884.98 ,,,2600.00 ,,,,,,,,,,,4388.00 ,4196.00 ,,,,,,,,2700.00 ,3360.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3208.00 ,,
2010-01-20,145.70 ,156.80 ,133.00 ,,152.90 ,161.30 ,,146.50 ,140.80 ,,132.50 ,103.90 ,,,,2760.11 ,,,2600.00 ,,,,,,,,,,,4364.00 ,4176.00 ,,,,,,,,2700.00 ,3380.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,365.00 ,,3158.00 ,,
2010-01-21,145.20 ,156.40 ,132.40 ,,152.50 ,161.00 ,,146.40 ,140.00 ,,131.70 ,103.70 ,,,,2765.98 ,,,2600.00 ,,,,,,,,,,,4344.00 ,4152.00 ,,,,,,,,2700.00 ,3390.00 ,,,,,,,,,,,,,,,,,,,,,,,,,505.00 ,,,,3170.00 ,,
2010-01-22,144.90 ,156.30 ,132.00 ,,152.40 ,160.80 ,,146.00 ,139.30 ,,131.40 ,103.40 ,,,,2685.86 ,,,2600.00 ,,,,,,,,,,,4298.00 ,4105.00 ,,,,,,130.20 ,126.10 ,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,507.36 ,128.01 ,447.44 ,123.20 ,127.93 ,,,,,,,122.00 ,3204.00 ,,
2010-01-25,144.60 ,155.90 ,131.70 ,,152.10 ,160.50 ,,145.90 ,138.70 ,,131.10 ,103.50 ,,,,2638.05 ,,,2580.00 ,,,,,,,,,,,4280.00 ,4094.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,485.00 ,,,,,3223.00 ,,
2010-01-26,144.40 ,155.70 ,131.50 ,,151.90 ,160.20 ,,145.40 ,138.70 ,,131.10 ,103.30 ,,,,2506.47 ,,,2580.00 ,,,,,,,,,,,4270.00 ,4082.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3205.00 ,,
2010-01-27,143.90 ,154.90 ,131.20 ,,151.10 ,159.50 ,,145.20 ,138.30 ,,130.90 ,102.90 ,,,,2480.38 ,,,2580.00 ,,,,,,,,,,,4299.00 ,4108.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,365.00 ,,3118.00 ,,
2010-01-28,143.90 ,154.70 ,131.40 ,,150.80 ,159.30 ,,145.10 ,138.80 ,,130.90 ,102.90 ,,,,2485.64 ,,,2550.00 ,,,,,,,,,,,4295.00 ,4098.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,505.00 ,,,,2963.00 ,,
2010-01-29,143.80 ,154.60 ,131.40 ,,150.70 ,159.30 ,,145.10 ,138.80 ,,130.90 ,102.90 ,,,,2477.83 ,,,2550.00 ,,,,,,,,,,,4298.00 ,4097.00 ,,,,,,129.90 ,123.70 ,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,524.40 ,135.03 ,452.93 ,124.39 ,129.95 ,,,,,,,,2848.00 ,,
2010-01-31,,,,,,,,,,,,,,,3031.07 ,,,,,,,,,,,,6283.60 ,419073.40 ,89.89 ,,,,,,,,,,,,,,,,,160.50 ,770.46 ,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,143.90 ,154.60 ,131.50 ,,150.70 ,159.30 ,,145.10 ,139.30 ,,130.70 ,102.80 ,,,,2404.64 ,,,2550.00 ,,,,,,,,,,,4296.00 ,4094.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,485.00 ,,,,,2745.00 ,,
2010-02-02,144.00 ,154.90 ,131.50 ,,151.20 ,159.30 ,,145.10 ,139.20 ,,130.70 ,102.80 ,,,,2431.08 ,,,2530.00 ,,,,,,,,,,,4209.00 ,4002.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2691.00 ,,
2010-02-03,143.90 ,155.00 ,131.30 ,,151.30 ,159.30 ,,145.10 ,138.80 ,,130.50 ,102.80 ,,,,2571.68 ,,,2530.00 ,,,,,,,,,,,4165.00 ,3962.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,390.00 ,,2673.00 ,,
2010-02-04,143.90 ,154.90 ,131.20 ,,151.30 ,159.20 ,,144.90 ,138.70 ,,130.50 ,102.80 ,,,,2534.71 ,,,2530.00 ,,,,,,,,,,,4123.00 ,3925.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,505.00 ,,,,2685.00 ,,
2010-02-05,143.70 ,154.70 ,131.10 ,,151.10 ,159.10 ,,144.90 ,138.70 ,,130.50 ,102.40 ,,,,2448.83 ,,,2530.00 ,,,,,,,,,,,4088.00 ,3894.00 ,,,,,,127.80 ,122.70 ,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,558.99 ,148.54 ,458.09 ,126.56 ,132.24 ,,,,,,,136.00 ,2715.00 ,,
2010-02-08,143.80 ,154.70 ,131.20 ,,151.10 ,159.00 ,,144.60 ,139.10 ,,130.50 ,102.50 ,,,,2468.60 ,,,2530.00 ,,,,,,,,,,,4123.00 ,3925.00 ,,,,,,,,2700.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,485.00 ,,,,,2722.00 ,,
2010-02-09,143.80 ,154.70 ,131.30 ,,151.10 ,159.00 ,,144.70 ,139.10 ,,130.50 ,102.50 ,,,,2479.18 ,,,2530.00 ,,,,,,,,,,,4137.00 ,3940.00 ,,,,,,,,2650.00 ,3340.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706.00 ,,
2010-02-10,143.80 ,154.70 ,131.30 ,,151.10 ,159.00 ,,144.70 ,139.10 ,,130.50 ,102.50 ,,,,2505.50 ,,,2530.00 ,,,,,,,,,,,4191.00 ,3979.00 ,,,,,,,,2650.00 ,3320.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,390.00 ,,2630.00 ,,
2010-02-11,143.80 ,154.70 ,131.30 ,,151.10 ,159.00 ,,144.70 ,139.10 ,,130.50 ,102.50 ,,,,2490.55 ,,,2530.00 ,,,,,,,,,,,4216.00 ,4012.00 ,,,,,,,,2650.00 ,3320.00 ,,,,,,,,,,,,,,,,,584.80 ,159.28 ,465.06 ,129.93 ,133.92 ,,,,505.00 ,,,,2575.00 ,,
2010-02-12,143.80 ,154.70 ,131.30 ,,151.10 ,159.00 ,,144.70 ,139.10 ,,130.50 ,102.50 ,,,,2535.93 ,,,,,,,,,,,,,,4276.00 ,4067.00 ,,,,,,127.80 ,122.70 ,,3320.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.00 ,,
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.00 ,,,,,2566.00 ,,
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598.00 ,,
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.00 ,,2661.00 ,,
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.00 ,,,,2704.00 ,,
2010-02-19,143.80 ,154.70 ,131.30 ,,151.10 ,159.00 ,,144.70 ,139.10 ,,130.50 ,102.50 ,,,,,,,,,,,,,,,,,,,,,,,,,127.80 ,125.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714.00 ,,
2010-02-20,143.90 ,154.70 ,131.40 ,,151.10 ,159.00 ,,144.90 ,139.10 ,,130.50 ,102.90 ,,,,,,,2530.00 ,,,,,,,,,,,,,,,,,,,,,3320.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-21,144.10 ,154.70 ,131.70 ,,151.10 ,159.10 ,,145.20 ,139.70 ,,130.80 ,102.90 ,,,,,,,2530.00 ,,,,,,,,,,,,,,,,,,,,,3340.00 ,,,,,,,,,,,,,,,,,678.73 ,192.43 ,513.32 ,151.94 ,138.31 ,,,,,,,,,,
2010-02-22,144.60 ,154.80 ,132.60 ,,151.20 ,159.10 ,,146.00 ,140.80 ,,131.90 ,103.00 ,,,,2531.60 ,,,2530.00 ,,,,,,,,,,,4278.00 ,4074.00 ,,,,,,,,2650.00 ,3360.00 ,,,,,,,,,,,,,,,,,,,,,,,,485.00 ,,,,,2721.00 ,,
2010-02-23,144.80 ,155.10 ,132.80 ,,151.40 ,159.40 ,,146.30 ,140.80 ,,132.40 ,102.80 ,,,,2493.94 ,,,2530.00 ,,,,,,,,,,,4273.00 ,4069.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724.00 ,,
2010-02-24,144.90 ,155.20 ,132.70 ,,151.40 ,159.60 ,,146.40 ,140.70 ,,132.60 ,102.80 ,,,,2566.01 ,,,2530.00 ,,,,,,,,,,,4252.00 ,4049.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,385.00 ,,2707.00 ,,
2010-02-25,144.60 ,154.40 ,132.90 ,,151.20 ,158.10 ,,146.50 ,140.90 ,,132.50 ,102.90 ,,,,2602.78 ,,,2530.00 ,,,,,,,,,,,4234.00 ,4029.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,,535.00 ,,,,2711.00 ,,
2010-02-26,144.70 ,154.40 ,133.00 ,,151.20 ,158.10 ,,146.70 ,140.90 ,,132.70 ,102.90 ,,,,2589.72 ,,,2550.00 ,,,,,,,,,,,4196.00 ,4014.00 ,,,,,,132.90 ,135.40 ,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,719.41 ,222.09 ,563.10 ,155.58 ,149.10 ,,,,,,,136.00 ,2738.00 ,,
2010-02-28,,,,,,,,,,,,,,,2860.10 ,,,,,,26.36 ,235.76 ,,,,,6150.90 ,473750.70 ,95.94 ,,,,,,,,,,,,,,,,,139.29 ,777.13 ,,3580.13 ,3610.19 ,,,,,,,,,,,,144565.10 ,,,,,,,,,
2010-03-01,145.60 ,155.50 ,133.70 ,,151.70 ,159.90 ,,147.10 ,142.30 ,,133.10 ,103.00 ,,,,2635.37 ,,,2550.00 ,,,,,,,,,,,4216.00 ,4029.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,495.00 ,,,,,2760.00 ,,
2010-03-02,146.00 ,155.60 ,134.30 ,,151.80 ,160.10 ,,148.20 ,143.10 ,,133.60 ,103.10 ,,,,2631.63 ,,,2550.00 ,,,,,,,,,,,4172.00 ,3989.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2792.00 ,,
2010-03-03,146.00 ,155.30 ,134.60 ,,151.60 ,159.80 ,,148.40 ,143.20 ,,134.10 ,103.30 ,,,,2725.85 ,,,2550.00 ,,,,,,,,,,,4150.00 ,3973.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,385.00 ,,2911.00 ,,
2010-03-04,146.20 ,155.20 ,135.00 ,,151.30 ,159.80 ,,148.80 ,143.50 ,,134.90 ,103.30 ,,,,2591.71 ,,,2550.00 ,,,,,,,,,,,4145.00 ,3966.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,,535.00 ,,,,3121.00 ,,
2010-03-05,146.10 ,154.90 ,135.00 ,,151.20 ,159.30 ,,149.00 ,143.50 ,,135.00 ,103.30 ,,,,2621.65 ,,,2600.00 ,,,,,,,,,,,4157.00 ,3976.00 ,,,,,,137.40 ,136.70 ,2650.00 ,3420.00 ,,,,,,,,,,,,,,,,,739.57 ,233.54 ,574.21 ,161.29 ,149.36 ,,,,,,,131.00 ,3242.00 ,,
2010-03-08,146.30 ,155.00 ,135.30 ,,151.30 ,159.40 ,,149.40 ,143.70 ,,135.00 ,103.90 ,,,,2647.65 ,,,2600.00 ,,,,,,,,,,,4190.00 ,4006.00 ,,,,,,,,2700.00 ,3440.00 ,,,,,,,,,,,,,,,,,,,,,,,,525.00 ,,,,,3259.00 ,,
2010-03-09,147.20 ,156.00 ,136.10 ,,152.50 ,160.10 ,,150.40 ,144.90 ,,135.40 ,104.00 ,,,,2738.07 ,,,2600.00 ,,,,,,,,,,,4625.00 ,4010.00 ,,,,,,,,2700.00 ,3470.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210.00 ,,
2010-03-10,148.20 ,156.90 ,137.10 ,,153.40 ,161.10 ,,151.60 ,146.30 ,,136.20 ,104.20 ,,,,2672.43 ,,,2600.00 ,,,,,,,,,,,4640.00 ,4027.00 ,,,,,,,,2700.00 ,3520.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,385.00 ,,3230.00 ,,
2010-03-11,149.80 ,159.60 ,137.90 ,,156.00 ,163.70 ,,153.20 ,147.40 ,,136.50 ,104.20 ,,,,2656.73 ,,,2600.00 ,,,,,,,,,,,4644.00 ,4021.00 ,,,,,,,,2700.00 ,3520.00 ,,,,,,,,,,,,,,,,,,,,,,,,,535.00 ,,,,3316.00 ,,
2010-03-12,150.80 ,160.80 ,138.70 ,,157.20 ,165.10 ,,154.40 ,148.30 ,,137.30 ,104.20 ,,,,2604.33 ,,,2630.00 ,,,,,,,,,,,4660.00 ,4040.00 ,,,,,,138.90 ,139.60 ,2700.00 ,3640.00 ,,,,,,,,,,,,,,,,,732.48 ,227.57 ,567.17 ,158.57 ,146.22 ,,,,,,,,3506.00 ,,
2010-03-15,152.90 ,163.60 ,140.10 ,,159.90 ,168.00 ,,156.90 ,149.50 ,,138.20 ,105.50 ,,,,2555.70 ,,,2700.00 ,,,,,,,,,,,4653.00 ,4061.00 ,,,,,,,,2700.00 ,3670.00 ,,,,,,,,,,,,,,,,,,,,,,,,540.00 ,,,,,3574.00 ,,
2010-03-16,155.10 ,166.70 ,141.60 ,,162.90 ,171.10 ,,158.50 ,151.90 ,,138.90 ,106.10 ,,,,2574.67 ,,,2700.00 ,,,,,,,,,,,4735.00 ,4151.00 ,,,,,,,,2700.00 ,3670.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3498.00 ,,
2010-03-17,156.20 ,167.90 ,142.70 ,,164.20 ,172.40 ,,160.60 ,152.70 ,,140.00 ,106.10 ,,,,2624.83 ,,,2700.00 ,,,,,,,,,,,4781.00 ,4187.00 ,,,,,,,,2700.00 ,3750.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,445.00 ,,3427.00 ,,
2010-03-18,156.00 ,167.80 ,142.50 ,,164.00 ,172.30 ,,160.60 ,152.20 ,,139.90 ,106.10 ,,,,2657.04 ,,,2750.00 ,,,,,,,,,,,4751.00 ,4154.00 ,,,,,,,,2700.00 ,3750.00 ,,,,,,,,,,,,,,,,,,,,,,,,,535.00 ,,,,3396.00 ,,
2010-03-19,155.90 ,167.50 ,142.50 ,,163.70 ,172.00 ,,160.70 ,152.30 ,,139.90 ,106.30 ,,,,2668.06 ,,,2750.00 ,,,,,,,,,,,4749.00 ,4159.00 ,,,,,,145.60 ,150.10 ,2750.00 ,3750.00 ,,,,,,,,,,,,,,,,,722.70 ,213.70 ,555.44 ,156.29 ,142.36 ,,,,,,,130.00 ,3379.00 ,,
2010-03-22,156.60 ,167.40 ,143.70 ,,163.50 ,172.00 ,,162.30 ,154.30 ,,140.20 ,106.10 ,,,,2666.70 ,,,2700.00 ,,,,,,,,,,,4782.00 ,4184.00 ,,,,,,,,2750.00 ,3750.00 ,,,,,,,,,,,,,,,,,,,,,,,,580.00 ,,,,,3337.00 ,,
2010-03-23,157.70 ,169.40 ,144.10 ,,165.50 ,174.00 ,,163.00 ,154.70 ,,140.60 ,106.10 ,,,,2656.11 ,,,2700.00 ,,,,,,,,,,,4766.00 ,4184.00 ,,,,,,,,2750.00 ,3800.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280.00 ,,
2010-03-24,158.30 ,170.90 ,144.00 ,,167.00 ,175.50 ,,162.90 ,154.50 ,,140.60 ,106.50 ,,,,2636.76 ,,,2700.00 ,,,,,,,,,,,4767.00 ,4229.00 ,,,,,,,,2750.00 ,3800.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,445.00 ,,3243.00 ,,
2010-03-25,159.60 ,173.10 ,144.70 ,,169.00 ,177.80 ,,164.50 ,154.90 ,,140.80 ,106.90 ,,,,2575.54 ,,,2700.00 ,,,,,,,,,,,4791.00 ,4285.00 ,,,,,,,,2750.00 ,3800.00 ,,,,,,,,,,,,,,,,,,,,,,,,,545.00 ,,,,3177.00 ,,
2010-03-26,160.70 ,174.40 ,145.50 ,,170.30 ,179.30 ,,165.40 ,156.30 ,,141.00 ,107.60 ,,,,2614.71 ,,,2700.00 ,,,,,,,,,,,4815.00 ,4336.00 ,,,,,,152.80 ,154.10 ,2750.00 ,3870.00 ,,,,,,,,,,,,,,,,,705.91 ,203.08 ,534.38 ,144.42 ,141.09 ,,,,,,,132.00 ,3098.00 ,,
2010-03-29,162.10 ,176.40 ,146.50 ,,172.10 ,181.40 ,,167.50 ,157.40 ,,141.20 ,108.00 ,,,,2686.63 ,,,2800.00 ,,,,,,,,,,,4803.00 ,4324.00 ,,,,,,,,2750.00 ,3870.00 ,,,,,,,,,,,,,,,,,,,,,,,,620.00 ,,,,,3021.00 ,,
2010-03-30,162.70 ,177.10 ,146.90 ,,173.30 ,181.60 ,,168.50 ,157.70 ,,141.60 ,108.00 ,,,,2669.73 ,,,2800.00 ,,,,,,,,,,,4790.00 ,4296.00 ,,,,,,,,2750.00 ,3900.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982.00 ,,
2010-03-31,162.70 ,176.80 ,147.20 ,,173.00 ,181.20 ,,169.50 ,157.80 ,,141.60 ,108.00 ,,,3183.20 ,2612.91 ,,,2800.00 ,,102.04 ,515.57 ,,,,,7972.40 ,598921.80 ,101.49 ,4760.00 ,4273.00 ,,,,,,,,2750.00 ,3900.00 ,31164.00 ,66452.86 ,43360.93 ,10397.14 ,,172.63 ,771.33 ,5351.60 ,7767.64 ,7497.48 ,,,,,18575.00 ,18323.80 ,,,,,,156926.95 ,,,,,525.00 ,,2998.00 ,,
2010-04-01,162.70 ,176.60 ,147.40 ,,172.80 ,181.10 ,,169.90 ,158.00 ,,141.60 ,108.00 ,,,,2639.14 ,,,2850.00 ,,,,,,,,,,,4751.00 ,4279.00 ,,,,,,,,2750.00 ,3900.00 ,,,,,,,,,,,,,,,,,,,,,,,,,545.00 ,,,,2991.00 ,,
2010-04-02,162.90 ,176.60 ,147.70 ,,172.70 ,181.30 ,,170.20 ,158.30 ,,141.80 ,108.90 ,,,,2645.51 ,,,2850.00 ,,,,,,,,,,,4772.00 ,4285.00 ,,,,,,158.60 ,162.90 ,2750.00 ,3900.00 ,,,,,,,,,,,,,,,,,691.38 ,195.81 ,521.76 ,132.60 ,143.19 ,,,,,,,135.00 ,,,
2010-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.00 ,,,,,,,
2010-04-06,164.70 ,179.30 ,148.80 ,,175.90 ,183.20 ,,171.40 ,160.20 ,,142.20 ,108.90 ,,,,2663.09 ,,,2850.00 ,,,,,,,,,,,4813.00 ,4311.00 ,,,,,,,,,3960.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981.00 ,,
2010-04-07,166.00 ,181.10 ,149.70 ,,177.80 ,184.90 ,,172.30 ,161.40 ,,142.50 ,110.00 ,,,,2668.04 ,,,2850.00 ,,,,,,,,,,,4840.00 ,4362.00 ,,,,,,,,2850.00 ,4000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,535.00 ,,2947.00 ,,
2010-04-08,166.90 ,182.30 ,150.30 ,,179.00 ,186.00 ,,172.80 ,162.60 ,,142.70 ,110.10 ,,,,2641.02 ,,,2850.00 ,,,,,,,,,,,4823.00 ,4368.00 ,,,,,,,,2850.00 ,4050.00 ,,,,,,,,,,,,,,,,,,,,,,,,,545.00 ,,,,2922.00 ,,
2010-04-09,167.20 ,182.80 ,150.40 ,,179.20 ,186.90 ,,173.10 ,162.60 ,,142.70 ,110.30 ,,,,2657.46 ,,,2900.00 ,,,,,,,,,,,4831.00 ,4385.00 ,,,,,,162.30 ,174.00 ,2860.00 ,4050.00 ,,,,,,,,,,,,,,,,,670.27 ,183.62 ,503.42 ,129.97 ,141.41 ,,,,,,,135.00 ,2913.00 ,,
2010-04-12,168.80 ,185.10 ,151.50 ,,181.50 ,189.40 ,,174.70 ,164.40 ,,143.00 ,110.70 ,,,,2633.25 ,,,2950.00 ,,,,,,,,,,,4870.00 ,4435.00 ,,,,,,,,2860.00 ,4150.00 ,,,,,,,,,,,,,,,,,,,,,,,,690.00 ,,,,,2911.00 ,,
