"公司名称","报告期","总资产","总资产：合并差额","总资产的经营性资产占比","总资产的折旧与摊销系数-K11","总资产商业性负债率","总资产融资性负债率","总资产的资产减值损失率","总资产的其他应收款占比","总资产的长期应收款占比","总资产的长期待摊费用占比","总资产的长期股权投资占比","总资产的在建工程占比","总资产的固定资产占比1","总资产的固定资产占比2","总资产净利润率","总资产利润率","总资产周转率","总资产的担保余额占比","总资产的获得担保余额占比","总资产的对外担保余额占比","总资产明确受限资产系数-K13"
"山东如意毛纺服装集团股份有限公司",2016-03-31,1866497045.38,31443409.49,0.997184707035563,0.0212350496820964,0.255965225379038,0.333817209795341,-0.00741508750811293,0.00342637796069909,0,0,0,0.0976552615988154,0.221062255084361,0.318717516683177,0.00917329670745419,0.0366207664224084,0.312912626942463,0.00884008900032347,0,0,0
"山东如意毛纺服装集团股份有限公司",2016-06-30,1920072188.75,33163456.0799999,0.997250611705679,0.0204902318352625,0.267174665721276,0.317413601207758,-0.0022832986153634,0.00410246070754667,0,0,0,0.0979989628527971,0.21151918603352,0.309518148886318,0.00974026867678756,0.0355546574215679,0.297601127426306,0.00572895126779644,0,0,0
"山东如意毛纺服装集团股份有限公司",2016-09-30,4540603146.9,766565335.91,0.998846288955339,0.0158697539089288,0.171014132351589,0.206862655511146,-0.00439319042772733,0.0759563370354145,0,0,0,0.0733605195881119,0.133737246393045,0.207097765981157,0.0112787895352276,0.028758933808848,0.271156114195367,0.00121129282213422,0,0,0
"山东如意毛纺服装集团股份有限公司",2016-12-31,4424575993.01,772810132.2,0.97194404702369,0.0200131032828985,0.176116004392523,0.220543541252676,0.000949036555379324,0.0160320304413494,0,0,0.0268500304182099,0.0546325710626016,0.165112739167355,0.219745310229956,0.0103351939193758,0.0283246139285361,0.285796982035653,0,0,0,0
"山东如意毛纺服装集团股份有限公司",2017-03-31,4267510214.19,627191241.77,0.970867813371222,NA,0.155806433884823,0.231141080989123,0.0013820896913308,0.0128089597953957,0,0,0.027838246199148,0.0670149764748207,0.168708599437214,0.235723575912035,0.0109999142819289,0.0293996852186056,0.319155087752087,0,0,0,0
"山东如意科技集团有限公司",2016-03-31,34885368928.02,14260153943.19,0.887255557528277,0.0153177093258754,0.216730697609656,0.419621583316615,0.00418734402907708,0.0422395335021511,0,0.00288463909261319,0.105649482484896,0.123287126689249,0.17028286303169,0.293569989720939,0.0260318397126375,0.0629189868740284,0.773163600704845,0,0,0,0
"山东如意科技集团有限公司",2016-06-30,34881863967.87,14589571852.65,0.886168359625007,0.0192625601522173,0.205278885951611,0.409663579948379,0.00438573832536802,0.0389075781529364,0,0.00282617899320991,0.107124094221911,0.12454461496701,0.17004800237922,0.294592617346231,0.0267772517710351,0.0663677454365573,0.782605066551337,0,0,0,0
"山东如意科技集团有限公司",2016-09-30,41340675988.12,17216303953.26,0.829750469356317,0.0200156633594156,0.219327943260667,0.436336640234274,0.00365646669227421,0.0328357889067922,0,0.00276798214191959,0.168364501969445,0.0945342787085307,0.183637189022783,0.278171467731313,0.0278164266589978,0.0633293745932014,0.735811584348671,0,0,0,0
"山东如意科技集团有限公司",2016-12-31,55375403234.6,30673274171.61,0.919989236982176,0.0177986720662904,0.173779404776907,0.406869776169545,0.0064305778743624,0.03107484354398,0.00507424533957039,0.00234929700897806,0.0749290472419974,0.0312782252613517,0.188523399190294,0.219801624451646,0.0555863751824944,0.0875141751580044,0.647710913110721,0,0,0,0
"山东如意科技集团有限公司",2017-03-31,54439296298.38,30112207561.12,0.917991822441818,NA,0.158148316227155,0.420196964904756,0.00788921302681496,0.0315203040486595,0.00283204098331793,0.00187850710044985,0.0771118449393866,0.033393242927611,0.181185132460713,0.214578375388324,0.057096537069726,0.0914271139755286,0.728978377508825,NA,0,0,0
