"公司名称","报告期","净资产"
"广东恒健投资控股有限公司",2016-03-31,163913203291.01
"广东恒健投资控股有限公司",2016-06-30,163502688354.49
"广东恒健投资控股有限公司",2016-09-30,164992578350.98
"广东恒健投资控股有限公司",2016-12-31,164800376484.94
"广东恒健投资控股有限公司",2017-03-31,166623137890.16
