指标名称,36城市服务价格:有线电视收费:有线电视收费,出口数量:彩色电视机(包括整套散件):当月值,出口金额:彩色电视机(包括整套散件):当月值,申万行业指数:有线电视网络,申万行业指数:广播电影电视,Wind行业指数:有线和卫星电视,耐用品采购订单指数:电视机:环比,价格:液晶显示器面板:21.5寸:LED:FHD,价格:液晶电视面板:32寸:Open Cell:WXGA,"平均价:液晶电视面板:50""W 1920x1080 50/60Hz Open-Cell","平均价:液晶电视面板:32""W 1366x768 50/60Hz Open-Cell","零售均价:液晶电视:32"" LED","零售均价:液晶电视:55"" LED",产量:彩色电视机:累计值,销量:彩色电视机:累计值,出货量:液晶电视面板:当月值,出货量:大尺寸面板:液晶电视:当月值,出口数量:电视机(包括整套散件):当月值,进口数量:电视显像管:当月值,进口数量:彩色显像管:当月值,进口数量:二极管及类似半导体器件:当月值,进口数量:集成电路:当月值,进口平均单价:电视、收音机及无线电讯设备的零附件:当月值,进口平均单价:电容器:当月值,进口平均单价:电阻器:当月值,创维数码:销量:电视机:当月值
2010-02-02,,,,3001.49 ,2386.26 ,3956.92 ,,,,,,,,,,,,,,,,,,,,
2010-02-03,,,,2953.44 ,2366.72 ,3933.38 ,,,,,,,,,,,,,,,,,,,,
2010-02-04,,,,3062.87 ,2516.52 ,4028.38 ,,,,,,,,,,,,,,,,,,,,
2010-02-05,,,,2934.71 ,2454.81 ,3873.42 ,,,,,,,,,,,,,,,,,,,,
2010-02-08,,,,2946.06 ,2477.24 ,3873.97 ,,,,,,,,,,,,,,,,,,,,
2010-02-09,,,,2991.96 ,2469.11 ,3926.30 ,,,,,,,,,,,,,,,,,,,,
2010-02-10,,,,3117.99 ,2506.72 ,4027.19 ,,,,,,,,,,,,,,,,,,,,
2010-02-11,,,,3068.28 ,2500.56 ,3999.02 ,,,,,,,,,,,,,,,,,,,,
2010-02-12,,,,3097.42 ,2553.29 ,4056.33 ,,,,,,,,,,,,,,,,,,,,
2010-02-22,,,,3052.77 ,2553.00 ,3998.55 ,,,,,,,,,,,,,,,,,,,,
2010-02-23,,,,3097.49 ,2582.04 ,4001.77 ,,,,,,,,,,,,,,,,,,,,
2010-02-24,,,,3162.10 ,2602.02 ,4114.47 ,,,,,,,,,,,,,,,,,,,,
2010-02-25,,,,3221.95 ,2624.16 ,4168.13 ,,,,,,,,,,,,,,,,,,,,
2010-02-26,,,,3255.06 ,2596.27 ,4170.54 ,,,,,,,,,,,,,,,,,,,,
2010-02-28,18.43 ,364.00 ,73084.20 ,,,,-10.30 ,,,,,,,,,14.30 ,,,28.00 ,27.00 ,18505.00 ,12222.00 ,84623.73 ,80753.01 ,92095.15 ,452.00 
2010-03-01,,,,3278.01 ,2616.51 ,4207.47 ,,,,,,,,,,,,,,,,,,,,
